"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","CPS Architecture and Layers","MING Stack Components and Protocols","Key Findings and Challenges"
"Toward a conceptual framework for designing sustainable cyber-physical system architectures: A systematic mapping study","https://scispace.com/paper/toward-a-conceptual-framework-for-designing-sustainable-ype1y8jgvrwp","2024","Repository","","Luisa Fernanda Restrepo Gutierrez
Pablo Bernal Moreno
ELIZABETH SUESCUN MONSALVE
Jose Lisandro Aguilar Castro
Cesar Pardo","10.60692/0g218-3rv46","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a systematic mapping of sustainable CPS design frameworks, but lacks MING‑stack focus, renewable‑energy learning‑factory context, concrete technical diagrams, benchmarking, or implementation artifacts.","Cyber-physical systems (CPS) represent devices whose components enable interaction between machines and processes. One of the biggest challenges of these systems today is the ability to adjust to changes at the time of execution as they are implemented in environments with a multidimensional complexity, this challenge is currently addressed from the design of the systems themselves by integrating sustainability. With this problem in mind, the present document describes a systematic mapping study of the literature with the goal of demonstrating the current panorama of the frameworks, designs, and/or models used at the time of initiating the development of a cyber-physical system. As a result, it has been concluded that there is a lack of guidelines to construct sustainable, and evolvable cyber-physical systems. To address these issues, a framework for designing sustainable CPS architectures is outlined. ","The paper outlines a framework for designing sustainable Cyber-Physical System (CPS) architectures. It concludes there is a lack of guidelines to construct sustainable and evolvable CPS, indicating the proposed framework aims to address this gap. No specific layered structure like perception/network/middleware/application layers, ISA-95, 5C, digital twin layers, or fog/edge/cloud tiers is detailed in the metadata.","Not available in metadata.","The systematic mapping study found a lack of guidelines for constructing sustainable and evolvable cyber-physical systems (CPS). A key challenge is the ability of CPS to adjust to changes at execution time due to multidimensional complexity. The paper outlines a framework for designing sustainable CPS architectures to address these issues."
"A cyber-physical system approach for photovoltaic array monitoring and control","https://scispace.com/paper/a-cyber-physical-system-approach-for-photovoltaic-array-3wjj5y9n6x","2017","Proceedings Article","International Conference on Information, Intelligence, Systems and Applications","Sunil Rao
Sameeksha Katoch
Pavan Turaga
Andreas Spanias
Cihan Tepedelenlioglu
Raja Ayyanar
Henry Braun
Jongmin Lee
Uday Shankar Shanthamallu
Mahesh K. Banavar
Devarajan Srinivasan","10.1109/IISA.2017.8316458","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on PV array monitoring with ML and vision; no MING‑stack, learning‑factory context, surveys, benchmarks, or open‑source artifacts.","In this paper, we describe a Cyber-Physical system approach to Photovoltaic (PV) array control. A machine learning and computer vision framework is proposed for improving the reliability of utility scale PV arrays by leveraging video analysis of local skyline imagery, customized machine learning methods for fault detection, and monitoring devices that sense data and actuate at each individual panel. Our approach promises to improve efficiency in renewable energy systems using cyber-enabled sensory analysis and fusion.","The paper describes a Cyber-Physical system approach for Photovoltaic array control. It proposes a machine learning and computer vision framework. This framework leverages video analysis of local skyline imagery, customized machine learning methods for fault detection, and monitoring devices that sense data and actuate at each individual panel. It emphasizes cyber-enabled sensory analysis and fusion. A specific layered architecture or reference model like ISA-95 or 5C is not explicitly detailed.","Not available in metadata.","A cyber-physical system approach for photovoltaic array control is proposed, utilizing a machine learning and computer vision framework. This framework aims to improve the reliability of utility-scale PV arrays through video analysis of skyline imagery, customized machine learning for fault detection, and individual panel monitoring. The approach promises improved efficiency in renewable energy systems via cyber-enabled sensory analysis and fusion. No specific challenges or limitations are mentioned in the provided metadata."
"Design of an efficient Communication Architecture for Cyber-Physical Production Systems","https://scispace.com/paper/design-of-an-efficient-communication-architecture-for-cyber-s8uzk8o22i","2018","Proceedings Article","Conference on Automation Science and Engineering","Florian Kaestner
Dirk Kuschnerus
Christoph Spiegel
Benedikt Janssen
Michael Huebner","10.1109/COASE.2018.8560563","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on generic CPPS communication architecture, no MING stack, renewable‑energy learning factories, surveys, benchmarks, or open‑source artifacts.","Current industrial plants are typically equipped with Programmable Logic Controllers (PLCs) in fixed hierarchical structures. A key paradigm in Industrial Internet of Things (IIoT) is the design of distributed smart embedded systems replacing PLCs and extending their capability to enable energy-efficient, scalable systems offering performance and self-adaptivity to changing economical, environmental and process conditions. To be applicable in industrial contexts, these Cyber-Physical Production Systems (CPPS) have to satisfy strict realtime requirements while providing cost-efficiency and user-friendliness. In addition, the intellectual property of the system stakeholders like business logic and control algorithms must be protected against manipulation and theft within the distributed system. In this paper, we analyze communication approaches and provide a CPPS architecture fulfilling these requirements.","This paper analyzes communication approaches and provides a CPPS architecture. It focuses on replacing PLCs with distributed smart embedded systems to enable energy-efficient, scalable, and self-adaptive systems. The architecture aims to satisfy strict real-time requirements, cost-efficiency, user-friendliness, and protect intellectual property. No specific layered structure (like perception/network/middleware/application) or reference model (like ISA-95, 5C) is explicitly detailed.","Not available in metadata.","This paper analyzes communication approaches and provides a Cyber-Physical Production Systems (CPPS) architecture. The architecture aims to fulfill requirements for strict real-time performance, cost-efficiency, and user-friendliness in industrial contexts. Challenges include enabling energy-efficient, scalable systems, ensuring self-adaptivity, and protecting intellectual property like business logic and control algorithms against manipulation and theft within distributed systems."
"IoT Based Monitoring in Learning Factories for Education in Smart and Sustainable Manufacturing","https://scispace.com/paper/iot-based-monitoring-in-learning-factories-for-education-in-33bvvsuvxb","2023","Book Chapter","","Matteo De Marchi
Benedikt G. Mark
Tanel Aruväli
Erwin Rauch
Dominik T. Matt","10.1007/978-3-031-42467-0_88","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses IoT platform for data collection and visualization in a learning factory, but lacks MING‑stack, renewable‑energy focus, systematic surveys, benchmarking, and open‑source releases.","Learning factories are currently undergoing a transformation toward smart and sustainable production. Students can learn through practical implementation in learning factory labs how digital technologies can contribute to both increasing efficiency and ecological sustainability. The aim of this paper is to present a training concept for an IoT lab where students learn to use Industrial Internet of Things for collecting data from machinery and to provide a platform for data analytics, monitoring and visualization. Beside the insights in the technical realization of the IoT lab this paper provides valuable information about lessons learned from the application in a graduate course. Students start from a simple non Industry 4.0 ready machinery, used smart devices to transform it into a cyber-physical system and were able to collect and provide data to an IoT platform. Students programmed and configured the IoT platform to achieve a digital monitoring for production and energy efficiency. This paper aims to encourage other higher education institutions to replicate the IoT lab. ","","",""
"Flexible operation and maintenance optimization of aging cyber-physical energy systems by deep reinforcement learning","https://scispace.com/paper/flexible-operation-and-maintenance-optimization-of-aging-wdnmrogrzk","2023","Journal Article","Nuclear Engineering and Technology","Zhaojun Hao
Francesco Paolo Di Maio
E. Zio","10.1016/j.net.2023.11.052","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on deep‑reinforcement‑learning O&M for aging cyber‑physical energy systems, without MING stack, learning‑factory context, or related architectural surveys.","Cyber-Physical Energy Systems (CPESs) integrate cyber and hardware components to ensure a reliable and safe physical power production and supply. Renewable Energy Sources (RESs) add uncertainty to energy demand that can be dealt with flexible operation (e.g., load-following) of CPES; at the same time, scenarios that could result in severe consequences due to both component stochastic failures and aging of the cyber system of CPES (commonly overlooked) must be accounted for Operation & Maintenance (O&M) planning. In this paper, we make use of Deep Reinforcement Learning (DRL) to search for the optimal O&M strategy that, not only considers the actual system hardware components health conditions and their Remaining Useful Life (RUL), but also the possible accident scenarios caused by the failures and the aging of the hardware and the cyber components, respectively. The novelty of the work lies in embedding the cyber aging model into the CPES model of production planning and failure process; this model is used to help the RL agent, trained with Proximal Policy Optimization (PPO) and Imitation Learning (IL), finding the proper rejuvenation timing for the cyber system accounting for the uncertainty of the cyber system aging process. An application is provided, with regards to the Advanced Lead-cooled Fast Reactor European Demonstrator (ALFRED). ","","",""
"Assertive, Selective, Scalable IoT-Based Warning System","https://scispace.com/paper/assertive-selective-scalable-iot-based-warning-system-3i3uo90e","2022","Journal Article","Sensors","Ion-Dorinel Filip
Cristian-Mihai Iliescu
Florin Pop","10.3390/s22031015","https://scispace.com/pdf/assertive-selective-scalable-iot-based-warning-system-3i3uo90e.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses MQTT, InfluxDB, Grafana for an IoT warning system; lacks Node‑RED and any renewable‑energy learning‑factory context, provides only limited architecture diagrams and no systematic survey or benchmarking.","With the evolution of technology, developed systems have become more complex and faster. Thirty years ago, there were no protocols or databases dedicated to developing and implementing IoT projects. We currently have protocols such as MQTT, AMQP, CoAP, and databases such as InfluxDB. They are built to support a multitude of data from an IoT system and scale very well with the system. This paper presents the design and implementation of an IoT alert system that uses MQTT and InfluxDB to collect and store data. We design a scalable system to display assertive alerts on a Raspberry Pi. Each user can select a subset of alerts in our system using a web interface. We present a bibliographic study of SoTA, the proposed architecture, the challenges posed by such a system, a set of tests for the performance and feasibility of the solution, and a set of conclusions and ideas for further developments.","","",""
"Архитектура киберфизической системы компрессорного оборудования на платформе influxdata","https://scispace.com/paper/arkhitektura-kiberfizicheskoi-sistemy-kompressornogo-9yd8sjjl5wfc","2020","Repository","","Кычкин Алексей Владимирович
Дерябин Александр Иванович
Викентьева Ольга Леонидовна
Шестакова Лидия Валентиновна","10.25728/datsys.2019.2.3","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses InfluxDB, Grafana, and a custom IoT controller for compressor CPS; lacks MQTT/Node‑RED and renewable‑energy learning‑factory context; provides architecture description but no survey, benchmarking, or quantitative evaluation.","Предложена архитектура киберфизической системы компрессорного оборудования на базе платформы InfluxData, используемой для создания приложений Интернета вещей, состоящей из трех подсистем: подсистемы физического объекта, цифрового двойника и интерфейса. В качестве технической реализации контроллера Интернета вещей предложен измерительно-управляющий модуль на базе устройства сбора, передачи данных и управления - VIDA350. Рассмотрены базовые методы обработки сырых данных со счетчиков энергоресурсов и датчиков технологических параметров, реализуемые в блоках on-line и off-line расчетов. Предложена организация цифрового двойника компрессора с использованием БД временных рядов InfluxDB и реляционной БД PostgreSQL. Для 2D визуализация измерений и графической интерпретации панели управления предложена система Grafana, а также FreeCAD - для визуализации оборудования в 3D. ","","",""
"Cyber-Physical System—An Architectural Review","https://scispace.com/paper/cyber-physical-system-an-architectural-review-3cy317tz02","2022","Book Chapter","","L. Ramanathan
R. S. Nandhini","10.1007/978-981-16-0739-4_13","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a generic CPS architectural review without MING‑stack, renewable‑energy learning factories, surveys, technical diagrams, benchmarking, case studies, metrics, or open‑source artifacts.","Cyber-physical systems (CPS) are very complex systems that are integrated with collaboration of communication, computation, and control together termed as 3C technology. Researchers and engineers are moving toward progress in the exploration of CPS. However, the intricacy of computing and physical advancements leads to following challenges in the development of CPS, such as physical abstraction, robustness, scalability, efficiency, and security. This paper first introduces the architectural analysis and design. Then, different CPS architectures are discussed from the perspective of manufacturing and industrial revolution. Finally, it presents the applications of CPS regarding the same.","","",""
"Integrating Renewable Energy with Internet of Things (iot): Pathways to a Smart Green Planet","https://scispace.com/paper/integrating-renewable-energy-with-internet-of-things-iot-ch7o911qtpli","","","","Shojib Mia
Firoz Ahmed
Ibrahim Khan
Md. Emamul Kabir
Mehedi H. Roni
Khadijatul Cobra
Anjuman Ara Khatun
Shahriar Mahmud","10.30572/2018/kje/160121","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** The paper reviews IoT‑renewable energy integration using Raspberry Pi/Arduino and ML, without MING‑stack components, CPS frameworks, learning‑factory context, or quantitative benchmarking.","The global use of IoT-enabled devices powered by renewable energy can create a smart, efficient, and eco-friendly network. By leveraging data analytics and machine learning, these systems can predict energy consumption, optimize resources, and maintain renewable energy assets proactively. IoT device adoption is rapidly increasing, with a projected 13% growth in 2024, bringing the total to 18.8 billion devices globally. However, there is a critical need for advanced applications of IoT technology, improved sensors implementation, and up-to-date software development to control IoT devices which is essential to fully harness renewable energy and combat global warming, ultimately achieving the vision of a smart green planet. This review examines the operational and technical needs of IoT devices, their integration with various renewable energy sources using Raspberry Pi or Arduino platforms equipped with sensors (such as motion, vibration, flow, and gyroscope), and the application of machine learning in IoT devices to showcase the potential of these technologies in fostering a smart, green world. To further this investigation, the study thoroughly examined the pros and cons of integrating various renewable energy sources to develop smart systems, such as smart grids, smart cities, smart transportation, and smart waste collection. Additionally, this study also examines the challenges faced by smart IoT systems, providing critical analysis and identifying promising directions for future advancements.","","",""
"Design, Modeling and Implementation of Digital Twins","https://scispace.com/paper/design-modeling-and-implementation-of-digital-twins-1lanv9c3","2022","Journal Article","Sensors","Mariana Segovia
Joaquín Martínez García","10.3390/s22145396","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on digital‑twin design and integration, without addressing MING‑stack, renewable‑energy learning factories, surveys, benchmarking, or open‑source implementations.","A Digital Twin (DT) is a set of computer-generated models that map a physical object into a virtual space. Both physical and virtual elements exchange information to monitor, simulate, predict, diagnose and control the state and behavior of the physical object within the virtual space. DTs supply a system with information and operating status, providing capabilities to create new business models. In this paper, we focus on the construction of DTs. More specifically, we focus on determining (methodologically) how to design, create and connect physical objects with their virtual counterpart. We explore the problem into several phases: from functional requirement selection and architecture planning to integration and verification of the final (digital) models. We address as well how physical components exchange real-time information with DTs, as well as experimental platforms to build DTs (including protocols and standards). We conclude with a discussion and open challenges.","","",""
"A Survey of IoT Platform Comparison for Building Cyber-Physical System Architecture","https://scispace.com/paper/a-survey-of-iot-platform-comparison-for-building-cyber-dyb9z6hmqs","2019","Proceedings Article","","Yohanes Yohanie Fridelin Panduman
Sritrusta Sukaridhoto
Anang Tjahjono","10.1109/ISRITI48646.2019.9034650","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Survey focuses on generic IoT platforms for CPS, lacks MING‑stack, renewable‑energy learning factories, detailed architectures, or benchmarking.","Increased Internet of Things (IoT) technology has increased the number of IoT platform technology developments that are used to facilitate the development of IoT. But in the industrial era 4.0, the application of IoT to Smart Factory has evolved into a new paradigm, namely the Cyber-Physical System (CPS). Therefore, this paper aims to do a survey to determine the parameters and criteria to build a system and architecture of the CPS platform. Additionally, it surveys and analyzes using several parameters or criteria to compare several IoT platforms such as thing management, connectivity, data storage, data abstraction, interface, analytical, feedback & collaboration, security, scalability, microservices, plug, and play. The result shows that these parameters and criteria can be used as references to develop the CPS platform system. In the next step, we expected that the creation of a CPS platform can be based on references from the results of this research survey and analysis.","","",""
"Smart Technologies for a Sustainable Future: IoT and AI in Renewable Energy","https://scispace.com/paper/smart-technologies-for-a-sustainable-future-iot-and-ai-in-3d2s7q7al1","2023","Proceedings Article","","Subhashree Rout
Swati Samantaray","10.1109/aespc59761.2023.10390251","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on IoT/AI for remote renewable energy, lacking MING‑stack, learning‑factory context, surveys, technical diagrams, benchmarking, case studies, metrics, or open‑source releases.","Remote regions all over the world continue to face issues with energy poverty and inadequate access to reliable power sources. This research article investigates the potential adoption of smart grid and hybrid renewable energy systems, enhanced by integrated Internet of Things and Artificial Intelligence technologies, as a transformative solution for remote locations. The article examines the process of selecting renewable energy sources, the incorporation of Internet of Things and Artificial Intelligence devices, considerations for system design, the benefits and drawbacks, and discusses case studies that demonstrate successful implementations. By delving into this intersection of renewable energy and advanced technologies, this article strives to provide insights into the potential of IoT and AI in transforming energy accessibility in remote areas. Furthermore, it has the potential to facilitate the advancement of methodologies associated with the conceptualization and implementation of sustainable energy infrastructure that exhibits both resilience and environmental compatibility.","","",""
"Iot system for renewable energy resource","https://scispace.com/paper/iot-system-for-renewable-energy-resource-2vxjqu7n7i0n","2024","Journal Article","","G K Sujay Anand
Ravi Sharma
Sheersh Kumar Garg
Laxya","10.58532/nbennuraich12","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Paper discusses generic IoT sensors, MQTT, and cloud analytics for renewable assets but lacks MING‑stack, learning‑factory context, surveys, detailed architectures, benchmarking, case studies, metrics, or open‑source releases.","Innovative technology with the ability to revolutionize the management and optimization of renewable energy. This article offers an overall view of IoT systems specifically designed for renewable energy and highlights some main attributes, components, and benefits of these systems. IoT systems for renewable consist of a variety of devices alongside automation features such as data analysis platforms, communication protocols and sensors that are used to monitor, evaluate and enhance the performance of renewable energy systems. Equipment sensors monitor the state and performance of renewable energy assets like solar panels, wind turbines, and energy storage systems whereas environmental sensors collect real-time data on parameters like solar radiation, wind velocity, temperature as well as humidity. Communications protocols such as MQTT, CoAP and LoRaWAN make it easier to transmit sensor data to edge or cloud environments. Cloud-based data analytics platform utilizes machine learning algorithms in order to analyze data, generate insights and optimize distributional efficiency while cloud storage space is used for storing files retrieved from different sources. Quick decision making; error detection; optimization of power consumption; monitoring quality—these are just a few things indicating that IoT electronic system acts really fast when dealing with information processing. For example predictive maintenance algorithms can reduce downtime by anticipating faults leading to improved maintenance scheduling. ","","",""
"An Interoperable Digital Twin with the IEEE 1451 Standards","https://scispace.com/paper/an-interoperable-digital-twin-with-the-ieee-1451-standards-mcv0ihag","2022","Journal Article","Sensors","Helbert da Rocha
João L. Serras Pereira
Reza Abrishambaf
Antonio Espirito-Santo","10.3390/s22197590","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on IEEE 1451/IEC 61499 interoperability for digital twins, without MING stack, renewable‑energy learning factories, surveys, benchmarking, or open‑source artifacts.","The shop floor or factory floor is the area inside a factory where manufacturing production is executed. The digitalisation of this area has been increasing in the last few years, introducing the Digital Twin (DT) and the Industry 4.0 concepts. A DT is the digital representation of a real object or an entire system. A DT includes a high diversity of components from different vendors that need to interact with each other efficiently. In most cases, the development of standards and protocols does not consider the need to operate with other standards and protocols, causing interoperability issues. Transducers (sensors and actuators) use the communication layer to exchange information with digital contra parts, and for this reason, the communication layer is one of the most relevant aspects of development. This paper covers DT development, going from the physical to the visualisation layer. The reference architecture models, standards, and protocols focus on interoperability to reach a syntactic level of communication between the IEEE 1451 and the IEC 61499 standards. A semantic communication layer connects transducer devices to the digital representation, achieving a semantic level of interoperability. This communication layer adds semantics to the communication process, allowing the development of an interoperable DT based on the IEEE 1451 standards. The DT presented reaches the syntactic and semantic levels of interoperability, allowing the monitoring and visualisation of a prototype system.","","",""
"Подход к мониторингу технологических данных при многоканальной станочной обработке с использованием NoSQL базы данных, Node-RED и Grafana","https://scispace.com/paper/podkhod-k-monitoringu-tekhnologicheskikh-dannykh-pri-4vom602xrqls","2024","Journal Article","","Georgi M. Martinov
К.В. Поляков","10.25728/avtprom.2024.05.01","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses Node‑RED, Grafana, and MongoDB for CNC machine monitoring, not MING stack, renewable‑energy learning factories, surveys, benchmarks, or open‑source releases.","Рассмотрен подход к построению систем мониторинга технологических данных при многоканальной обработке на станках с ЧПУ. Используются программные решения от сторонних производителей, такие как: NoSQL базы данных, Node-RED и Grafana. Предложена структурная модель системы мониторинга, реализованной на базе Node-RED и Grafana. Разработана система мониторинга для двухканальной обработки с использованием протокола OPC UA и базы данных MongoDB. ","","",""
"Models and Methodologies for Collecting, Processing, and Storing Heterogeneous IoT Data in the Field of Renewable Energy – а Review","https://scispace.com/paper/models-and-methodologies-for-collecting-processing-and-1kg4vtbwxbir","2024","Journal Article","","Irena Valova
Tsvetelina Kaneva
Tsvetana Halacheva
Nikolay Valov
Tsvetozar Georgiev","10.1109/ciees62939.2024.10811303","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Reviews IoT data models for renewable energy; lacks MING‑stack, learning‑factory focus, architectural details, benchmarking, case studies, metrics, or open‑source artifacts.","This paper examines the models and methodologies for collecting, processing, and storing heterogeneous Internet of Things (IoT) data in the field of renewable energy. IoT technology plays a crucial role in the energy management of renewable sources such as solar, wind, and hydroelectric systems by enabling real-time monitoring and control. The study explores various data models, including those for data acquisition, prediction, and energy flow management, all of which are essential for optimizing energy production, distribution, and consumption. By integrating IoT with advanced data analytics and machine learning, energy systems can achieve greater efficiency, reduce operational costs, and support the development of smart grids. Key challenges discussed include the need for standardization of communication protocols and ensuring data security, as IoT systems handle sensitive energy information. This research highlights IoT's potential to drive innovation in renewable energy management and contribute to global sustainability goals by enhancing resource efficiency and reducing carbon emissions.","","",""
"Scalable Solar Energy Monitoring with Message Queuing Telemetry Transport (MQTT) and Node-RED","https://scispace.com/paper/scalable-solar-energy-monitoring-with-message-queuing-rq7qrpo68762","2025","Journal Article","","Timothy O. ABATAN
Muhammad Uthman
Chijioke Ejimofor","10.70118/ujet.2025.0202.32","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses MQTT and Node‑RED for solar PV monitoring, but lacks InfluxDB, Grafana, learning‑factory context, surveys, benchmarks, or open‑source releases.","This study presents the design and implementation of a scalable, secure, and robust Internet of Things (IoT) based solar photovoltaic monitoring system utilising the Message Queuing Telemetry Transport (MQTT) protocol integrated with Node-RED. The methodology employed a systematic approach comprising architectural design, simulation validation, security implementation, and performance evaluation. The system architecture incorporated MQTT brokers for efficient publish-subscribe messaging and Node-RED for data processing and visualisation, with security implemented through Advanced Encryption Standard (AES-256) encryption. System performance was evaluated through MATLAB simulation using real solar Photovoltaic data. Results demonstrated exceptional voltage monitoring (18.5V-22.5V, standard deviation 0.87V), current measurements (0.2A-4.8A, temporal resolution ~500ms), power output calculations (3.7W-108.5W, error margin &lt;1.2%), and solar irradiance monitoring (100-985 W/m²) with a strong correlation coefficient of 0.93 between irradiance and power output. The system maintained a 99.87% uptime with bandwidth consumption of only 4.2 KB/s during peak transmission and minimal packet loss (0.07%). The findings confirmed that MQTT/Node-RED integration provides significant advantages for IoT-based solar monitoring, including reduced bandwidth requirements, minimal data loss, and responsive alerting capabilities (average notification time of 2.3 seconds), addressing critical gaps in existing monitoring solutions ","","",""
"Use of open-source software platform to develop dashboards for control and automation of flow chemistry equipment","https://scispace.com/paper/use-of-open-source-software-platform-to-develop-dashboards-11v5iaxm","2022","Journal Article","Digital discovery","Carlu van der Westhuizen
Jurie du Toit
Nicole C. Neyt
Darren L. Riley
Jenny-Lee Panayides","10.1039/d2dd00036a","https://scispace.com/pdf/use-of-open-source-software-platform-to-develop-dashboards-11v5iaxm.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses Node‑RED and Grafana to control flow‑chemistry hardware; provides component diagrams and JSON command flow, but lacks MQTT/InfluxDB, renewable‑energy focus, surveys, or benchmarking.","We report the development of an open-source software approach to monitor and control flow chemistry reactors from any smart device. The dashboard server can be run on a low-cost Raspberry...","","",""
"A Review of Energy Aware Cyber-Physical Systems","https://scispace.com/paper/a-review-of-energy-aware-cyber-physical-systems-2qypxhjj","2023","Journal Article","Cyber-physical systems","Houssam Kanso
Adel Noureddine
Ernesto Exposito","10.1080/23335777.2022.2163298","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Reviews energy‑aware CPS concepts but lacks MING‑stack, learning‑factory focus, detailed architectures, benchmarking, case studies, metrics, or open‑source releases.","In recent years, the number of connected devices and systems has increased exponentially, along with their daily use. Cyber-Physical Systems (CPS) are complex multi-layered feedback systems that combine computing resources and interaction with the physical environment using sensors and actuators. Energy is considered one of the major concerns driven by the increasing number of connected systems. In this paper, we review current research approaches in energy-aware CPS. We propose a novel architectural methodology to analyse and compare state-of-the-art approaches, on their architectural design and energy-related factors. We finally draw recommendations from our review on how to build energy-aware CPS solutions. ","","",""
"Digital twin-based cyber physical production system architectural framework for personalized production","https://scispace.com/paper/digital-twin-based-cyber-physical-production-system-3la42fyj3t","2020","Journal Article","The International Journal of Advanced Manufacturing Technology","Kyu Tae Park
Je-Hun Lee
Hyun-Jung Kim
Sang Do Noh","10.1007/S00170-019-04653-7","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on digital twin CPPS for personalized production, not renewable‑energy learning factories or MING‑stack components; lacks surveys, benchmarks, or open‑source MING artifacts.","Personalized production is a manufacturing concept relevant to the fourth industrial revolution, which can satisfy various customer needs inexpensively. There are three main hurdles to the efficient implementation of this concept: access, cost, and performance. This paper proposes a digital twin-based cyber physical production system (CPPS) architectural framework that overcomes the performance hurdle. The proposed architectural framework comprises five services that are solutions to the performance hurdle of personalized production, and it operates on information based on the proposed product, process, plan, plant, and resource (P4R) information model. This information model is manufacturing abstraction for personalized production and is presented on a detailed level with object-orientation and the “type and instance” concept. Whereas previous studies on the digital twin concept considered one or several facilities and focused on the development of independent applications, this study focuses on the digital twin as a core technological element of the entire system and analyzes CPPS design and its operation from the system-of-systems perspective. The application of the digital twin-based CPPS to a micro smart factory (MSF) provides an advanced solution for the personalized production of various products. An average makespan improvement of ~ 26.87% was achieved using the implemented CPPS services in the MSF.","","",""
"A Literature Survey of Energy Sustainability in Learning Factories","https://scispace.com/paper/a-literature-survey-of-energy-sustainability-in-learning-3r7pnk31m8","2020","Proceedings Article","International Conference on Industrial Informatics","Fadi Assad
Sergey Konstantinov
Emma Rushforth
Daniel A. Vera
Robert Harrison","10.1109/INDIN45582.2020.9442119","https://scispace.com/pdf/a-literature-survey-of-energy-sustainability-in-learning-3r7pnk31m8.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on energy sustainability concepts, VR, digital twins, and IoT without mentioning MING stack, detailed architectures, benchmarking, or open-source implementations.","Commercial competence to satisfy customer demands requires companies to provide the necessary skilled engineering staff and fight against time to achieve that. Learning Factories (LF) aim to provide training and education so that the manufacturing facility can respond to its production aims. However, the implementation of learning factories concept is adopting different styles especially with the rise of Industry 4.0. On the other hand, sustainability concerns are becoming more serious and need to be fulfilled due to the recent climate changes. In this paper, a literature survey of the recent developments in this field is conducted with regards to energy sustainability. In particular, an analysis of the pedagogical aspect in terms of the applied learning theories, curriculum design and learning environment is explored. Further, some criticisms based on the analysis are put forward, and some research topics are suggested in relation to both the pedagogical and technical aspects.","","",""
"The Model of a Cyber-Physical System for Hybrid Renewable Energy Station Control","https://scispace.com/paper/the-model-of-a-cyber-physical-system-for-hybrid-renewable-5awitdfuns","2019","Book Chapter","International Conference on Cyber-Physical Systems","Dmitry G. Arseniev
Vyacheslav P. Shkodyrev
Kamil I. Yagafarov","10.1007/978-3-030-34983-7_37","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on CPS model for hybrid renewable energy station control; lacks MING‑stack, learning‑factory context, surveys, benchmarks, or open‑source artifacts.","Cyber-Physical Systems (CPSs) are a modern engineering system class based on the synergy of software and hardware components. In CPSs, embedded computers and networks monitor and control physical processes using feedback loops where physical processes have impact on calculations and vice versa. The present paper is devoted to the CPSs development for the control of the energy production process.","","",""
