"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Monitoring and Data Processing Architecture using the FIWARE Platform for a Renewable Energy Systems","https://scispace.com/paper/monitoring-and-data-processing-architecture-using-the-fiware-5fscjgevvv","2021","Proceedings Article","IEEE Annual Computing and Communication Workshop and Conference","Washington Velasquez
Luis Tobar-Andrade
Ivan Cedeno-Campoverde","10.1109/CCWC51732.2021.9376026","","This paper states the model of a computational architecture using the FIWARE platform to be incorporated into renewable energy systems to monitor variables such as power, current, temperature, and more, allowing the evaluation and recognition of patterns that generate notifications in case of an emergency. The results indicate that the architecture is easily adaptable to different environments due to the FIWARE-Orion and FIWARE-Draco components, which allow the creation of dynamic data communication channels providing a reliable, powerful, and adaptable tool.","In this article, the authors present the model of a computational architecture using the FIWARE platform to monitor variables such as power, current, temperature, and more, allowing the evaluation and recognition of patterns that generate notifications in case of emergency."
"Smart Technologies for a Sustainable Future: IoT and AI in Renewable Energy","https://scispace.com/paper/smart-technologies-for-a-sustainable-future-iot-and-ai-in-3d2s7q7al1","2023","Proceedings Article","","Subhashree Rout
Swati Samantaray","10.1109/aespc59761.2023.10390251","","Remote regions all over the world continue to face issues with energy poverty and inadequate access to reliable power sources. This research article investigates the potential adoption of smart grid and hybrid renewable energy systems, enhanced by integrated Internet of Things and Artificial Intelligence technologies, as a transformative solution for remote locations. The article examines the process of selecting renewable energy sources, the incorporation of Internet of Things and Artificial Intelligence devices, considerations for system design, the benefits and drawbacks, and discusses case studies that demonstrate successful implementations. By delving into this intersection of renewable energy and advanced technologies, this article strives to provide insights into the potential of IoT and AI in transforming energy accessibility in remote areas. Furthermore, it has the potential to facilitate the advancement of methodologies associated with the conceptualization and implementation of sustainable energy infrastructure that exhibits both resilience and environmental compatibility.","The article examines the process of selecting renewable energy sources, the incorporation of Internet of Things and Artificial Intelligence devices, considerations for system design, the benefits and drawbacks, and discusses case studies that demonstrate successful implementations."
"Integrating Digital Twins and Cyber-Physical Systems for Flexible Energy Management in Manufacturing Facilities: A Conceptual Framework","https://scispace.com/paper/integrating-digital-twins-and-cyber-physical-systems-for-efnma5vcqrrm","2024","Journal Article","Electronics","Gerrit Rolofs
Fabian Wilking
Stefan Goetz
Sandro Wartzack","10.3390/electronics13244964","","This paper presents a conceptual framework aimed at integrating Digital Twins and cyber-physical production systems into the energy management of manufacturing facilities. To address the challenges of rising energy costs and environmental impacts, this framework combines digital modeling and customized energy management for direct manufacturing operations. Through a review of the existing literature, essential components such as physical models, a data platform, an energy optimization platform, and various interfaces are identified. Key requirements are defined in terms of functionality, performance, reliability, safety, and additional factors. The proposed framework includes the physical system, data platform, energy management system, and interfaces for both operators and external parties. The goal of this framework is to set the basis for allowing manufacturers to reduce energy consumption and costs during the lifecycle of assets more effectively, thereby improving energy efficiency in smart manufacturing. The study highlights opportunities for further research, such as real-world applications and sophisticated optimization methods. The advancement of Digital Twin technologies holds significant potential for creating more sustainable factories. ","This paper proposes a conceptual framework integrating Digital Twins and cyber-physical systems for flexible energy management in manufacturing facilities, combining digital modeling and customized energy management to reduce energy consumption and costs."
"Data Acquisition System for Developing Digital Twin Solutions: A Practical Guide","https://scispace.com/paper/data-acquisition-system-for-developing-digital-twin-4v5ved9wgg","","Journal Article","","Silviu Raileanu
Theodor Borangiu
Ionut Lentoiu
Florin Daniel Anton
R. Negoiță","10.1007/978-3-031-53445-4_4","","This paper presents a Digital Twin implementation solution that integrates Internet of Things (IoT), cyber-physical systems (CPS) and data models to monitor manufacturing processes and equipment. The core of this solution revolves around the effective combination of IoT and CPS to enable real-time data collection, analysis, and communication between physical and virtual entities. The IoT infrastructure plays a crucial role in connecting the physical components to their digital counterparts, enabling data exchange and analysis. Simultaneously, the cyber-physical system acts as the backbone of the Digital Twin, synchronizing the real and virtual environments and ensuring accurate representation and response. The solution emphasizes the importance of interoperability and modularity, allowing for easy integration with existing manufacturing systems and Industry 4.0 applications. The open architecture design promotes the scalability of the solution, making it suitable for various industries and applications, including but not limited to automotive, aerospace, and consumer electronics. ","This paper presents a practical guide to developing Digital Twin solutions, integrating IoT, CPS, and data models for real-time monitoring and analysis of manufacturing processes and equipment, emphasizing interoperability, modularity, and scalability."
"Integrating Renewable Energy with Internet of Things (iot): Pathways to a Smart Green Planet","https://scispace.com/paper/integrating-renewable-energy-with-internet-of-things-iot-ch7o911qtpli","","","","Shojib Mia
Firoz Ahmed
Ibrahim Khan
Md. Emamul Kabir
Mehedi H. Roni
Khadijatul Cobra
Anjuman Ara Khatun
Shahriar Mahmud","10.30572/2018/kje/160121","","The global use of IoT-enabled devices powered by renewable energy can create a smart, efficient, and eco-friendly network. By leveraging data analytics and machine learning, these systems can predict energy consumption, optimize resources, and maintain renewable energy assets proactively. IoT device adoption is rapidly increasing, with a projected 13% growth in 2024, bringing the total to 18.8 billion devices globally. However, there is a critical need for advanced applications of IoT technology, improved sensors implementation, and up-to-date software development to control IoT devices which is essential to fully harness renewable energy and combat global warming, ultimately achieving the vision of a smart green planet. This review examines the operational and technical needs of IoT devices, their integration with various renewable energy sources using Raspberry Pi or Arduino platforms equipped with sensors (such as motion, vibration, flow, and gyroscope), and the application of machine learning in IoT devices to showcase the potential of these technologies in fostering a smart, green world. To further this investigation, the study thoroughly examined the pros and cons of integrating various renewable energy sources to develop smart systems, such as smart grids, smart cities, smart transportation, and smart waste collection. Additionally, this study also examines the challenges faced by smart IoT systems, providing critical analysis and identifying promising directions for future advancements.","This review integrates IoT with renewable energy to create a smart, efficient, and eco-friendly network, leveraging data analytics and machine learning to optimize resources, predict energy consumption, and maintain renewable energy assets proactively, fostering a smart green planet."
"Energy Management Strategies for RES-enabled Smart-grids empowered by an Internet of Things (IoT) Architecture","https://scispace.com/paper/energy-management-strategies-for-res-enabled-smart-grids-1j9mhfez9u","2017","Book Chapter","","C. Ziogou
Spyros Voutetakis
Simira Papadopoulou","10.1016/B978-0-444-63965-3.50414-1","","The aim of this work is to provide the basic understanding for the design and development of an Internet of Things (IoT) Domain Model in conjunction with flexible and abstract Energy Management Strategy (EMS) for the effective power exchange between off-grid stations with Renewable Energy Sources (RES). When multi-source energy stations (nodes) are connected, a network is formed where a flexible EMS should be applied to fulfil the overall supply and demand of energy. Each node needs to exchange information with the monitoring and control station that supervises the operations of the entire network as part of the operations domain of the grid. The developed IoT model, which is platform independent, is able to represent generically the need for information and data exchange between nodes with diverse subsystems and requirements in a highly dynamic manner. The instantiation of the IoT Domain Model was performed using an autonomous small scale grid with RES which is controlled by a Supervisory Control and Data Acquisition (SCADA) system.","The developed IoT model, which is platform independent, is able to represent generically the need for information and data exchange between nodes with diverse subsystems and requirements in a highly dynamic manner."
"Internet of Learning Factories to Support the Teaching & Learning Experience on Distributed Production Systems and Blockchain Networks","https://scispace.com/paper/internet-of-learning-factories-to-support-the-teaching-55mpjnmgjk","2021","Journal Article","Social Science Research Network","Maximilian Rolinck
Rishi Kumar
Bastian Thiede
Felipe Cerdas
Kuldip Singh Sangwan
Christoph Herrmann","10.2139/SSRN.3868778","","Global supply chains can be regarded as increasingly complex networks of Distributed Production Systems. They often lack transparency and do not allow the tracing of products. To overcome these limitations and to achieve more efficient and sustainable value streams, the implementation of blockchain technology as a data management system is a promising approach. However, there is a wide gap between theory and practice. By interconnecting globally distributed learning factories, global supply chains can be simulated. In this regard, learning factories have the potential to contribute overcoming this gap by enabling learners to gain practical knowledge and to simulate production systems and processes on a small scale. This paper introduces the concept of the Internet of Learning Factories enabling practitioners to test application concepts in the context of distributed production, e.g. blockchain technologies. The concept is implemented in the Indo-German Center for Sustainable Manufacturing, a cooperation between Technische Universitat Braunschweig, Germany, and BITS Pilani, India, and improves the teaching and learning experience within a joint student seminar.","The concept of the Internet of Learning Factories enabling practitioners to test application concepts in the context of distributed production, e.g. blockchain technologies is introduced."
"Flexible operation and maintenance optimization of aging cyber-physical energy systems by deep reinforcement learning","https://scispace.com/paper/flexible-operation-and-maintenance-optimization-of-aging-wdnmrogrzk","2023","Journal Article","Nuclear Engineering and Technology","Zhaojun Hao
Francesco Paolo Di Maio
E. Zio","10.1016/j.net.2023.11.052","","Cyber-Physical Energy Systems (CPESs) integrate cyber and hardware components to ensure a reliable and safe physical power production and supply. Renewable Energy Sources (RESs) add uncertainty to energy demand that can be dealt with flexible operation (e.g., load-following) of CPES; at the same time, scenarios that could result in severe consequences due to both component stochastic failures and aging of the cyber system of CPES (commonly overlooked) must be accounted for Operation & Maintenance (O&M) planning. In this paper, we make use of Deep Reinforcement Learning (DRL) to search for the optimal O&M strategy that, not only considers the actual system hardware components health conditions and their Remaining Useful Life (RUL), but also the possible accident scenarios caused by the failures and the aging of the hardware and the cyber components, respectively. The novelty of the work lies in embedding the cyber aging model into the CPES model of production planning and failure process; this model is used to help the RL agent, trained with Proximal Policy Optimization (PPO) and Imitation Learning (IL), finding the proper rejuvenation timing for the cyber system accounting for the uncertainty of the cyber system aging process. An application is provided, with regards to the Advanced Lead-cooled Fast Reactor European Demonstrator (ALFRED). ","This paper employs Deep Reinforcement Learning to optimize Operation & Maintenance of aging Cyber-Physical Energy Systems, considering hardware and cyber component failures, aging, and uncertainty, to ensure reliable and safe power production and supply."
"IoT Based Monitoring in Learning Factories for Education in Smart and Sustainable Manufacturing","https://scispace.com/paper/iot-based-monitoring-in-learning-factories-for-education-in-33bvvsuvxb","2023","Book Chapter","","Matteo De Marchi
Benedikt G. Mark
Tanel Aruväli
Erwin Rauch
Dominik T. Matt","10.1007/978-3-031-42467-0_88","","Learning factories are currently undergoing a transformation toward smart and sustainable production. Students can learn through practical implementation in learning factory labs how digital technologies can contribute to both increasing efficiency and ecological sustainability. The aim of this paper is to present a training concept for an IoT lab where students learn to use Industrial Internet of Things for collecting data from machinery and to provide a platform for data analytics, monitoring and visualization. Beside the insights in the technical realization of the IoT lab this paper provides valuable information about lessons learned from the application in a graduate course. Students start from a simple non Industry 4.0 ready machinery, used smart devices to transform it into a cyber-physical system and were able to collect and provide data to an IoT platform. Students programmed and configured the IoT platform to achieve a digital monitoring for production and energy efficiency. This paper aims to encourage other higher education institutions to replicate the IoT lab. ","IoT-based training lab for learning factories in smart and sustainable manufacturing. Students learn to collect and analyze data from machinery using IoT devices and platforms."
"Iot system for renewable energy resource","https://scispace.com/paper/iot-system-for-renewable-energy-resource-2vxjqu7n7i0n","2024","Journal Article","","G K Sujay Anand
Ravi Sharma
Sheersh Kumar Garg
Laxya","10.58532/nbennuraich12","","Innovative technology with the ability to revolutionize the management and optimization of renewable energy. This article offers an overall view of IoT systems specifically designed for renewable energy and highlights some main attributes, components, and benefits of these systems. IoT systems for renewable consist of a variety of devices alongside automation features such as data analysis platforms, communication protocols and sensors that are used to monitor, evaluate and enhance the performance of renewable energy systems. Equipment sensors monitor the state and performance of renewable energy assets like solar panels, wind turbines, and energy storage systems whereas environmental sensors collect real-time data on parameters like solar radiation, wind velocity, temperature as well as humidity. Communications protocols such as MQTT, CoAP and LoRaWAN make it easier to transmit sensor data to edge or cloud environments. Cloud-based data analytics platform utilizes machine learning algorithms in order to analyze data, generate insights and optimize distributional efficiency while cloud storage space is used for storing files retrieved from different sources. Quick decision making; error detection; optimization of power consumption; monitoring quality—these are just a few things indicating that IoT electronic system acts really fast when dealing with information processing. For example predictive maintenance algorithms can reduce downtime by anticipating faults leading to improved maintenance scheduling. ","This article explores IoT systems for renewable energy, highlighting their attributes, components, and benefits, including data analysis, automation, and predictive maintenance, to optimize performance, reduce downtime, and enhance distributional efficiency."
"Integrating Machine Learning and IoT Technologies for Advancements in Solar Energy Systems","https://scispace.com/paper/integrating-machine-learning-and-iot-technologies-for-v56qgehzpk","2024","Journal Article","","N. V. Giridharan
M. Marimuthu
V. Gomathy
N. Saranya
Ashulekha Gupta
U Arun Kumar","10.1109/icaaic60222.2024.10575346","","This research focuses on the synergistic application of machine learning and Internet of Things technologies for the improvement of the performance of renewable energy systems based on the example of solar energy conversion. The research covers the aspects of a solar energy conversion system implementation, in which a set of solar panels, a multilevel inverter, and various sensors that monitor solar irradiance, temperature, and voltage parameters have been used. The sensors have an IoT feature of wireless data transfer to a central control unit. Machine learning algorithms, in particular, Artificial Neural Networks, Support Vector Machines, Decision Trees, and Random Forest, are used to analyze historical and real-time data to provide predictive maintenance, to forecast energy demand of the users, and to detect faults. The control framework of the system uses a Proportional-Integral-Derivative control loop to adjust the output voltage of the multilevel inverter through comparison with the required grid or load demand. The performance of the control shows significant improvements of the conversion efficiency of energy, the precision of voltage regulation, and the capacity for predictive maintenance. Particularly, it is defined that the accuracy of the prediction of the response to maintenance of the ANN algorithm is 96.7% that is the highest among the studied models. As a result, it is defined that renewable systems are dynamic, and adaptive control is essential for their effective functioning taking into consideration different environmental conditions. The results can be useful for the future design and operation of such systems, and it has the potential to create a sustainable and reliable energy supply by improving the efficiency of renewable energy systems.","This research integrates machine learning and IoT technologies to enhance solar energy system performance, utilizing sensors and machine learning algorithms for predictive maintenance, energy demand forecasting, and fault detection, achieving significant improvements in conversion efficiency and voltage regulation."
"A learning factory for industry 4.0 based on cyber-physical system technology","https://scispace.com/paper/a-learning-factory-for-industry-4-0-based-on-cyber-physical-0hiyjhcsk02d","2025","Journal Article","Annals of the Academy of Romanian Scientists Series on  Science and Technology of Information","Theodor Borangiu
Silviu Răileanu
Ionuţ Lenţoiu","10.56082/annalsarsciinfo.2025.1.48","","Industry 4.0 represents the new stage in the organization and control of the industrial value chain; its basis is represented by Cyber-Physical Systems (CPS) that use intensively automation, bridge the physical and digital world through Industrial IoT, are controlled with distributed intelligence by smart products driving the production steps in closed-loop data models and controls, and operate in business models integrated in the cloud universal manufacturing space. With reference to the manufacturing models of the 4th industrial revolution, the foundational technologies and standards integrated in the reference architectural model of Industry 4.0 (RAMI 4.0) from the perspective of produc-tion, digital, AI and cyber technologies are analysed. The paper describes a learning factory developed for Industry 4.0 based on an industrial manufacturing cell controlled by a CPS and a 42-week program with hands-on training and master course teaching. ","This paper proposes a learning factory for Industry 4.0, integrating Cyber-Physical Systems, Industrial IoT, and AI, based on a reference architectural model (RAMI 4.0), to develop skills in production, digital, and cyber technologies through hands-on training and master courses."
