"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Scalable Solar Energy Monitoring with Message Queuing Telemetry Transport (MQTT) and Node-RED","https://scispace.com/paper/scalable-solar-energy-monitoring-with-message-queuing-rq7qrpo68762","2025","Journal Article","","Timothy O. ABATAN
Muhammad Uthman
Chijioke Ejimofor","10.70118/ujet.2025.0202.32","","This study presents the design and implementation of a scalable, secure, and robust Internet of Things (IoT) based solar photovoltaic monitoring system utilising the Message Queuing Telemetry Transport (MQTT) protocol integrated with Node-RED. The methodology employed a systematic approach comprising architectural design, simulation validation, security implementation, and performance evaluation. The system architecture incorporated MQTT brokers for efficient publish-subscribe messaging and Node-RED for data processing and visualisation, with security implemented through Advanced Encryption Standard (AES-256) encryption. System performance was evaluated through MATLAB simulation using real solar Photovoltaic data. Results demonstrated exceptional voltage monitoring (18.5V-22.5V, standard deviation 0.87V), current measurements (0.2A-4.8A, temporal resolution ~500ms), power output calculations (3.7W-108.5W, error margin &lt;1.2%), and solar irradiance monitoring (100-985 W/m²) with a strong correlation coefficient of 0.93 between irradiance and power output. The system maintained a 99.87% uptime with bandwidth consumption of only 4.2 KB/s during peak transmission and minimal packet loss (0.07%). The findings confirmed that MQTT/Node-RED integration provides significant advantages for IoT-based solar monitoring, including reduced bandwidth requirements, minimal data loss, and responsive alerting capabilities (average notification time of 2.3 seconds), addressing critical gaps in existing monitoring solutions ",""
"An improved cyber-physical systems architecture for Industry 4.0 smart factories:","https://scispace.com/paper/an-improved-cyber-physical-systems-architecture-for-industry-5bph01e43d","2018","Journal Article","Advances in Mechanical Engineering","Jehn-Ruey Jiang","10.1177/1687814018784192","https://journals.sagepub.com/doi/pdf/10.1177/1687814018784192","The cyber-physical system is the core concept of Industry 4.0 for building smart factories. We can rely on the ISA-95 architecture or the 5C architecture to build the cyber-physical system for smar...","This article proposes the 8C architecture by adding 3C facets into the 5C architecture, including an Industrial Internet of Things gateway and a smart factory data center running in the cloud environment."
"A learning factory for industry 4.0 based on cyber-physical system technology","https://scispace.com/paper/a-learning-factory-for-industry-4-0-based-on-cyber-physical-0hiyjhcsk02d","2025","Journal Article","Annals of the Academy of Romanian Scientists Series on  Science and Technology of Information","Theodor Borangiu
Silviu Răileanu
Ionuţ Lenţoiu","10.56082/annalsarsciinfo.2025.1.48","","Industry 4.0 represents the new stage in the organization and control of the industrial value chain; its basis is represented by Cyber-Physical Systems (CPS) that use intensively automation, bridge the physical and digital world through Industrial IoT, are controlled with distributed intelligence by smart products driving the production steps in closed-loop data models and controls, and operate in business models integrated in the cloud universal manufacturing space. With reference to the manufacturing models of the 4th industrial revolution, the foundational technologies and standards integrated in the reference architectural model of Industry 4.0 (RAMI 4.0) from the perspective of produc-tion, digital, AI and cyber technologies are analysed. The paper describes a learning factory developed for Industry 4.0 based on an industrial manufacturing cell controlled by a CPS and a 42-week program with hands-on training and master course teaching. ","This paper proposes a learning factory for Industry 4.0, integrating Cyber-Physical Systems, Industrial IoT, and AI, based on a reference architectural model (RAMI 4.0), to develop skills in production, digital, and cyber technologies through hands-on training and master courses."
"Toward a conceptual framework for designing sustainable cyber-physical system architectures: A systematic mapping study","https://scispace.com/paper/toward-a-conceptual-framework-for-designing-sustainable-ype1y8jgvrwp","2024","Repository","","Luisa Fernanda Restrepo Gutierrez
Pablo Bernal Moreno
ELIZABETH SUESCUN MONSALVE
Jose Lisandro Aguilar Castro
Cesar Pardo","10.60692/0g218-3rv46","","Cyber-physical systems (CPS) represent devices whose components enable interaction between machines and processes. One of the biggest challenges of these systems today is the ability to adjust to changes at the time of execution as they are implemented in environments with a multidimensional complexity, this challenge is currently addressed from the design of the systems themselves by integrating sustainability. With this problem in mind, the present document describes a systematic mapping study of the literature with the goal of demonstrating the current panorama of the frameworks, designs, and/or models used at the time of initiating the development of a cyber-physical system. As a result, it has been concluded that there is a lack of guidelines to construct sustainable, and evolvable cyber-physical systems. To address these issues, a framework for designing sustainable CPS architectures is outlined. ",""
"Toward a conceptual framework for designing sustainable cyber-physical system architectures: A systematic mapping study","https://scispace.com/paper/toward-a-conceptual-framework-for-designing-sustainable-71ad1jncq8b9","2024","Repository","","Luisa Fernanda Restrepo Gutierrez
Pablo Bernal Moreno
ELIZABETH SUESCUN MONSALVE
Jose Lisandro Aguilar Castro
Cesar Pardo","10.60692/xwcxc-hkh60","","Cyber-physical systems (CPS) represent devices whose components enable interaction between machines and processes. One of the biggest challenges of these systems today is the ability to adjust to changes at the time of execution as they are implemented in environments with a multidimensional complexity, this challenge is currently addressed from the design of the systems themselves by integrating sustainability. With this problem in mind, the present document describes a systematic mapping study of the literature with the goal of demonstrating the current panorama of the frameworks, designs, and/or models used at the time of initiating the development of a cyber-physical system. As a result, it has been concluded that there is a lack of guidelines to construct sustainable, and evolvable cyber-physical systems. To address these issues, a framework for designing sustainable CPS architectures is outlined. ","This systematic mapping study identifies a lack of guidelines for designing sustainable cyber-physical systems, and proposes a conceptual framework to address this gap, enabling the development of evolvable and sustainable CPS architectures."
"Toward a conceptual framework for designing sustainable cyber-physical system architectures: A systematic mapping study","https://scispace.com/paper/toward-a-conceptual-framework-for-designing-sustainable-20bb2cwq7x","2023","Journal Article","","Luisa Fernanda Restrepo Gutierrez
Pablo Bernal Moreno
Elizabeth Suescún Monsalve
José Lisandro Aguilar Castro
César Jesús Pardo Calvache","10.37868/hsd.v5i2.226","https://scispace.compdf/toward-a-conceptual-framework-for-designing-sustainable-20bb2cwq7x.pdf","Cyber-physical systems (CPS) represent devices whose components enable interaction between machines and processes. One of the biggest challenges of these systems today is the ability to adjust to changes at the time of execution as they are implemented in environments with a multidimensional complexity, this challenge is currently addressed from the design of the systems themselves by integrating sustainability. With this problem in mind, the present document describes a systematic mapping study of the literature with the goal of demonstrating the current panorama of the frameworks, designs, and/or models used at the time of initiating the development of a cyber-physical system. As a result, it has been concluded that there is a lack of guidelines to construct sustainable, and evolvable cyber-physical systems. To address these issues, a framework for designing sustainable CPS architectures is outlined.","It has been concluded that there is a lack of guidelines to construct sustainable, and evolvable cyber-physical systems and a framework for designing sustainable CPS architectures is outlined."
"The Use of the MQTT Protocol in Measurement, Monitoring and Control Systems as Part of the Implementation of Energy Management Systems","https://scispace.com/paper/the-use-of-the-mqtt-protocol-in-measurement-monitoring-and-3b6g0h06","2022","Journal Article","Electronics","Anna Manowska
Artur Wycisk
Andrzej Nowrot
Joachim Pielot","10.3390/electronics12010017","https://scispace.com/pdf/the-use-of-the-mqtt-protocol-in-measurement-monitoring-and-3b6g0h06.pdf","The Internet of Things (IoT) market is currently one of the most dynamically developing branches of technology. The increase in the number of devices and their capabilities make them present in every area of life—from construction to medicine. Due to flourishing industrial automation and wireless connectivity, all devices in buildings can be networked, which significantly improves comfort, energy efficiency, and thus significantly affects the promotion of the idea of sustainable development. This article proposes to build a system to monitor an energy management system by collecting information about temperature, humidity and pressure. The concept of the system is based on the Message Queue Telemetry Transport (MQTT) communication protocol, a wireless network, an ESP8266 microcontroller and a BME280 sensor. Sensors and actuators are connected to the ESP8266, and a Mosquitto-based MQTT broker is placed on the RPi and set up for remote monitoring and control. An innovative approach to the use of database systems dedicated to time series on the example of InfluxDB and data visualization in the Grafana environment was also presented. The proposed system was built in laboratory conditions in 2022 and used to monitor and control energy consumption in real time, depending on Polish weather conditions.","In this paper , the authors proposed a system based on the Message Queue Telemetry Transport (MQTT) protocol, a wireless network, an ESP8266 microcontroller and a BME280 sensor."
"Sistem Pemantauan dan Kontrol Energi Listrik Menggunakan Platform Node-RED, Influxdb dan Grafana melalui Jaringan WiFi dan Lora","https://scispace.com/paper/sistem-pemantauan-dan-kontrol-energi-listrik-menggunakan-2s1km5s2","2022","Journal Article","Jurnal fokus elektroda (energi listrik, telekomunikasi, komputer, elektronika dan kendali)","Mada Jimmy Fonda Arifianto
Lin Prasetyani","10.33772/jfe.v7i1.23440","","Electrical energy monitoring for home and industrial equipment plays important role to prepare the concept of green energy in the future. Usually, only one or a few energy meters are provided in each building for monitoring the energy use of the entire installation. Usually, only one or a few energy meters are provided in each building for monitoring the energy use of the entire installation. Topic of this research is developing an energy measuring instrument that is applied to every electrical equipment. Knowing the information of energy usage of each equipment in real-time is the first step in saving electricity.  This help for decisions making in term of efficient utilization, for example managing the schedule of production system and preventive maintenance. The energy monitoring and controlling system proposed in this paper includes hardware development using microcontroller ESP32, LoRa module and energy sensor PZEM-004T.  In addition, software development to support the system includes Node-RED as dashboard and back-end development, InfluxDB as database management and Grafana as data visualization. The prototype has been successfully made and has features according to the research objective, which is to display the electrical quantity of each tool individually and monitor it for a certain period.","In this paper , an energy measuring instrument that is applied to every electrical equipment is developed to calculate the electrical quantity of each tool individually and monitor it for a certain period of time."
"Empowering Smart Factories: The Role of Cyber-Physical Systems in Revolutionizing Autonomous Manufacturing","https://scispace.com/paper/empowering-smart-factories-the-role-of-cyber-physical-ejkm4rlcucs2","2025","Journal Article","Stallion Journal for Multidisciplinary Associated Research Studies","Harendra Pratap Singh","10.55544/sjmars.icmri.20","","The integration of Cyber-Physical Systems (CPS) in manufacturing is revolutionizing the transition to smart factories, enabling real-time monitoring, intelligent decision-making, and autonomous operations. CPS bridges physical processes with digital technologies, leveraging sensors, IoT, and AI to enhance efficiency, flexibility, and sustainability. This paper explores the architecture, functionalities, and transformative impact of CPS on autonomous manufacturing, highlighting innovations like predictive maintenance, mass customization, and resource optimization. Despite challenges such as cybersecurity and cost barriers, CPS holds immense potential to reshape manufacturing by fostering resilience and agility. Future advancements in connectivity and AI promise further breakthroughs in this domain. ",""
"Подход к мониторингу технологических данных при многоканальной станочной обработке с использованием NoSQL базы данных, Node-RED и Grafana","https://scispace.com/paper/podkhod-k-monitoringu-tekhnologicheskikh-dannykh-pri-4vom602xrqls","2024","Journal Article","","Georgi M. Martinov
К.В. Поляков","10.25728/avtprom.2024.05.01","","Рассмотрен подход к построению систем мониторинга технологических данных при многоканальной обработке на станках с ЧПУ. Используются программные решения от сторонних производителей, такие как: NoSQL базы данных, Node-RED и Grafana. Предложена структурная модель системы мониторинга, реализованной на базе Node-RED и Grafana. Разработана система мониторинга для двухканальной обработки с использованием протокола OPC UA и базы данных MongoDB. ","A monitoring approach for multi-channel CNC processing is proposed, utilizing NoSQL databases, Node-RED, and Grafana. A structural model is presented, and a monitoring system is developed for dual-channel processing using OPC UA and MongoDB."
"Cyber Physical System Framework: An Apropos Study","https://scispace.com/paper/cyber-physical-system-framework-an-apropos-study-wf2ainuk4c","2020","Proceedings Article","","Megha Wankhade
Suhasini Vijaykumar Kottur","10.1109/ICISC47916.2020.9171074","","The next generation of engineered systems is specified as the cyber-physical systems (CPS) with the incorporation of communique, computation, and controller to achieve the targets of constancy, routine, sturdiness, and competence in physical systems. Cyber-Physical systems are a feedback system that requires cybersecurity and improved design tools that enables design methodology. Cyber-Physical system becomes a significant track intended for the advance of the smart engineering business. The control trial of wide-ranging and organically disseminated cyber-physical systems is intended to be sturdy and consistent with very multifaceted disseminated in addition to the vital controller. The safety difficulties in addition protective measures the aforementioned aspects are progressively advancing the concentration of exploration in the arena. This paper presents a study of different application framework that is helpful to industry and academia in the direction of design a strong security framework to improve these systems.","This paper presents a study of different application framework that is helpful to industry and academia in the direction of design a strong security framework to improve cyber-physical systems."
"The Model of a Cyber-Physical System for Hybrid Renewable Energy Station Control","https://scispace.com/paper/the-model-of-a-cyber-physical-system-for-hybrid-renewable-5awitdfuns","2019","Book Chapter","International Conference on Cyber-Physical Systems","Dmitry G. Arseniev
Vyacheslav P. Shkodyrev
Kamil I. Yagafarov","10.1007/978-3-030-34983-7_37","","Cyber-Physical Systems (CPSs) are a modern engineering system class based on the synergy of software and hardware components. In CPSs, embedded computers and networks monitor and control physical processes using feedback loops where physical processes have impact on calculations and vice versa. The present paper is devoted to the CPSs development for the control of the energy production process.","The present paper is devoted to the CPSs development for the control of the energy production process."
"Iot system for renewable energy resource","https://scispace.com/paper/iot-system-for-renewable-energy-resource-2vxjqu7n7i0n","2024","Journal Article","","G K Sujay Anand
Ravi Sharma
Sheersh Kumar Garg
Laxya","10.58532/nbennuraich12","","Innovative technology with the ability to revolutionize the management and optimization of renewable energy. This article offers an overall view of IoT systems specifically designed for renewable energy and highlights some main attributes, components, and benefits of these systems. IoT systems for renewable consist of a variety of devices alongside automation features such as data analysis platforms, communication protocols and sensors that are used to monitor, evaluate and enhance the performance of renewable energy systems. Equipment sensors monitor the state and performance of renewable energy assets like solar panels, wind turbines, and energy storage systems whereas environmental sensors collect real-time data on parameters like solar radiation, wind velocity, temperature as well as humidity. Communications protocols such as MQTT, CoAP and LoRaWAN make it easier to transmit sensor data to edge or cloud environments. Cloud-based data analytics platform utilizes machine learning algorithms in order to analyze data, generate insights and optimize distributional efficiency while cloud storage space is used for storing files retrieved from different sources. Quick decision making; error detection; optimization of power consumption; monitoring quality—these are just a few things indicating that IoT electronic system acts really fast when dealing with information processing. For example predictive maintenance algorithms can reduce downtime by anticipating faults leading to improved maintenance scheduling. ","This article explores IoT systems for renewable energy, highlighting their attributes, components, and benefits, including data analysis, automation, and predictive maintenance, to optimize performance, reduce downtime, and enhance distributional efficiency."
"IIoT Network System from Data Collection to Cyber-Physical System Transmission Under the Industry 5.0 Era","https://scispace.com/paper/iiot-network-system-from-data-collection-to-cyber-physical-40xw1676pm","2023","Book Chapter","","Nasia Balakera
Fotios K. Konstantinidis
Georgios Tsimiklis
Evangelia Latsa
Angelos Amditis","10.1007/978-981-99-3236-8_75","","IIoT and Industry 5.0 have caused a technological revolution in the industrial field by setting new possibilities in monitoring and controlling of devices and machines. The fundamental characteristics of Industrial Internet of Things (IIoT) optimize production processes through the easy accessibility of data, improved safety conditions, and better maintenance forecasting. At the same time, Industry 5.0 and the IIoT provide more operational efficiency, interconnection, scalability, interoperability, time savings, and cost savings by using advanced technologies. In Industry 5.0, services require short response times and integration with cloud platforms that offer high response speeds, thereby achieving latency-free data transfer. The technologies that are used in the IIoT network that is studied in this research are TIA portal, Node-RED, and Node-RED Dashboard. These technologies are used to connect PLC S7-1200 with the IoT2050 Gateway through the industrial protocol PROFINET and finally transmit data to cloud platforms or other cyber-physical system through MQTT protocol. In general, the proposed architecture collects data from the industrial field and sends them to other systems located on local, fog, or cloud premises in order to store, process, and predict data that can be used in upper systems or cognitive digital twin schemas in a friendly way. In this paper, we propose a methodology that collects production data from the production machine and transmits them to the cloud, proposing a user-friendly step-by-step self-exploratory guide for integrators, programmers, and early stage researchers. The methodology is applied in cyber-physical-sorting system, achieving monitoring and controlling in real-time, and further processing of the system’s data. ","IIoT network system collects data from industrial field and transmits it to cloud platforms or other cyber-physical systems."
