"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Empowering Industrial IoT Systems with GPU-Powered Optimization Algorithms and Cybersecurity Tools","https://scispace.com/paper/empowering-industrial-iot-systems-with-gpu-powered-2angod0m","2023","Dissertation","","Misonne Delphine","10.23860/diss-abdelatti-marwan-2022","https://scispace.com/pdf/empowering-industrial-iot-systems-with-gpu-powered-2angod0m.pdf","","G. Clarke and J. W. Wright, ""Scheduling of vehicles from a central depot to a number of delivery points,"" Operations research, vol. 12, no. 4, pp. 568-581, 1964. Introduction:
 The factory of the future, as conceptualized in Industry 4.0, is an integrated system where production machines, material handling systems, part input and output processes, and humans interact within a framework of distributed and centralized controls . Machines exchange parts and data autonomously and algorithms act on this data to control processes and part movements. The data also gives insight into the condition of machines, and maintenance is invoked in a predictive manner. Much of this data is generated by components of the Internet of Things (IoT) . One of the challenges in implementing an Industry 4.0 system is assembling a collection of heterogeneous devices in a common framework. Using the architecture of Robot Operating System (ROS), it is possible to integrate the communications of a variety of production devices. In this application, ROS has the advantage that many of the material handling devices such as robots and other material transfer devices such as AGVs may already have been set up to operate with ROS, facilitating their integration expeditiously. Introduction:
 Small-scale factories or simplified physical models have been commonly used in research involving operations research and maintenance. The main purpose of using such systems is to generate representative data for modeling and testing since it is difficult to get this data from industrial settings by disrupting production, and furthermore, when available, it is not publicly accessible . This cyber-physical approach has many benefits over using a virtual model of a factory or machine since it allows training in real environments and allows replication of details related to industrial practice that can be difficult to simulate virtually . Another advantage of using lab-scale implementations is that these can be built using low cost, nonindustrial components. There are several platforms available nowadays including the Smart-LEGO Factory, the Fischertechnik plant model for Industry 4.0  a Fischertechnik punching workstation , the Festo Learning Factory  to name a few. Introduction:
 There is an increasing interest in the use of small-scale factories, especially for exploring Industry 4.0 concepts.  show how a learning factory can be used in an engineering course on reconfigurable manufacturing in a blended and problembased learning approach.  present an in-house developed learning factory to meet various manufacturing requirements and proving their value in a production environment. A mechanism of how a generic client can access data generated from a workstation has been demonstrated in . Three application cases from business process management (BPM) have been used in  to address challenges in Industry 4.0 using DFKI Smart Lego Factory. A physical Fischertechnik factory model equipped with several sensors has been introduced in  as an approach for the generation of predictive maintenance data. The development of an ontology to represent a Fischertechnik manufacturing simulation model by reusing existing ontologies has been investigated in . A fully automated factory prototype built out of LEGO bricks has been introduced in  to demonstrate artificial intelligence applications in Industry 4.0. However, these all use proprietary software that makes the process of expanding the factory challenging. Introduction:
 In this chapter, we present a laboratory-scale smart factory that can be assembled with off-the-shelf components and IoT devices. The system has been created"
"Plant visualization using iot and ar","https://scispace.com/paper/plant-visualization-using-iot-and-ar-221pxl1e0v","2020","Journal Article","","Swapnil Likhitkar
Jatin Gereja
Nikhil Sonwane
Savita Pawar","10.33564/IJEAST.2020.V04I12.037","https://scispace.com/pdf/plant-visualization-using-iot-and-ar-221pxl1e0v.pdf","The fourth industrial revolution has enabled entire manufacturing lines to operate with minimal human intervention. Machines have become autonomous and, for the efficient operation of systems, decision-makers require a clear picture of the plant’s situation and overall performance. Sensors provide real-time machine data that can assist in understanding trends, enabling experts to analyze and optimize processes and also provides the ability to predict faults. Thus, providing access to plant data at the right level and time is critical for effective operations. Operators are required to quickly spot issues in real-time to take corrective measures which require effective delivery of information using specific Data Visualization techniques. This paper depicts a system developed by the integration of the latest technologies to virtually visualize the performance of an industrial plant for decision-guiding insights to reduce problems and improve production. Keywords— Industry 4.0, Smart Factory, Internet of Things (IoT), Augmented Reality (AR), Predictive Maintenance.","Title: PLANT VISUALIZATION USING IOT AND AR Authors: Swapnil Likhitkar,Jatin Gereja,Nikhil Sonwane,Savita Pawar Keywords: Industry 4.0, Smart Factory, Internet of Things (IoT), Augmented Reality (AR), Predictive Maintenance"
"Using Physical Factory Simulation Models for Business Process Management Research","https://scispace.com/paper/using-physical-factory-simulation-models-for-business-1bxlm6eioh","2020","Book Chapter","Business Process Management","Lukas Malburg
Ronny Seiger
Ralph Bergmann
Barbara Weber","10.1007/978-3-030-66498-5_8","https://scispace.com/pdf/using-physical-factory-simulation-models-for-business-1bxlm6eioh.pdf","The production and manufacturing industries are currently transitioning towards more autonomous and intelligent production lines within the Fourth Industrial Revolution (Industry 4.0). Learning Factories as small scale physical models of real shop floors are realistic platforms to conduct research in the smart manufacturing area without depending on expensive real world production lines or completely simulated data. In this work, we propose to use learning factories for conducting research in the context of Business Process Management (BPM) and Internet of Things (IoT) as this combination promises to be mutually beneficial for both research areas. We introduce our physical Fischertechnik factory models simulating a complex production line and three exemplary use cases of combining BPM and IoT, namely the implementation of a BPM abstraction stack on top of a learning factory, the experience-based adaptation and optimization of manufacturing processes, and the stream processing-based conformance checking of IoT-enabled processes.","Business Process Management Research ⋆ Authors: Lukas Malburg,Ronny Seiger,Ral Bergmann,Barbara Weber Keywords: Cyber-Physical Production Systems, Factory Simulation Models, Business Process Management, Industry 4.0, Digital Twins Introduction:
 The production and manufacturing industries are undergoing major changes with machines, products, materials, and humans becoming increasingly interconnected via information technology to form the industrial Internet of Things (IoT)-a process known as Industry 4.0 . Among others, these developments promise more efficient and flexible production processes, optimized supply chains, reduced downtimes and maintenance efforts for machines as well as cost reductions . To enable the development of new concepts and prototypes in the context of Industry 4.0, openly available repositories and interfaces for accessing machine data and control functionality in real world settings are required. However, the majority of current machines and production lines are closed systems not allowing to conduct research due to high costs of downtimes and setup processes as well as safety and security concerns . To remedy this situation, related work usually resorts to simulated artificial data from production environments (Digital Twins ) or to expensive high-end laboratory setups with real production machines (e. g., the SmartFactoryKL 4 ). While the latter is infeasible for most research institutions in academic contexts, working with artificial data often does not completely reflect the actual physical properties of a production environment, especially w. r. t. runtime behavior and ad-hoc interactions with the physical world . Learning Factories are emerging as suitable platforms for future oriented research and education  combining the advantages of both approaches in a Cyber-Physical Production System (CPPS) . Being small scale physical models with a sufficient number of sensors and actuators for simulating real world industrial IoT environments, learning factories allow for flexibly conducting research on Industry 4.0 concepts and running experiments at much lower costs while maintaining the transferability of results to real smart factories. Introduction:
 In this paper, we present three use cases using a learning factory as physical simulation model of a CPPS to conduct research in the context of BPM. The application of concepts and technologies from the BPM domain in industrial IoT promises various advantages, among others, an easy and flexible integration and programming of hardware, events, services and humans on a process-oriented level as well as the usage of a wide range of process analysis techniques developed by the process mining community. However, apart from mutual benefits also new challenges arise with the combination of BPM and IoT . With this work, we will address a subset of these challenges linked to the combination of process and event-based systems, the adaptation of processes to deal with new situations, and the application of IoT for process analysis-all in the context of smart factories."
"Application of xRM Framework for Digitalization of Workplace","https://scispace.com/paper/application-of-xrm-framework-for-digitalization-of-workplace-4im00k1obg","2020","Book Chapter","","Zeljko Stojkic
Igor Bošnjak","10.2507/31ST.DAAAM.PROCEEDINGS.041","https://scispace.com/pdf/application-of-xrm-framework-for-digitalization-of-workplace-4im00k1obg.pdf","","Any relationship Automation Marketing, sales and processes of business services Any significant process Overview Interactions, activities, tasks and annual history Interactions, activities, tasks and annual history for X Provides Client-oriented analysis X-oriented analysis Integration with ERP applications ERP and CRM application Management:
 The Faculty, with its employees and Learning Factory infrastructure has all the necessary parts for xRM development, implementation and education. A requirement regarding this concept is that it needs to be integrated with any other information system or data source. As represented in Figure ., the database of xRM is the central database. xRM application, through REST/SOAP services, gets and sends data from other information system's databases. xRM enables integration with other different information systems through Open SYNC tools for database integration (ERP system, other data from different sources, sensors, etc.) in one place, which ensures combinations of all data in one place. Every application (assistance system) is customized for different workplaces and only shows necessary data for a specific workplace. Applications can be developed and implemented in three different ways: application development in custom (native) technology, application development and customizing in given xRM framework methodology, and combined development, using both custom and xRM framework methodology. This concept enhances the application of lean manufacturing tools. Many papers , , ,  already investigated and proved the hypothesis that Industry 4.0 supports lean manufacturing through lean elements: Supplier feedback, JIT delivery, Pull production, Continuous Flow, Setup time reduction, Total productive maintenance, Statistical process control, Employee involvement etc. Regarding FSRE Learning Factory, digitalization of workplaces would improve supplier feedback through better communication mechanisms and synchronization of data. JIT delivery by suppliers would be enabled by item tagging and wireless tracking of goods. Using standardized interfaces would help in supplier development. Pull production would be enabled by schedule tracking. Real-time inventory tracking, decentralized decision making would ensure continuous flow. Management:
 The concept was developed and tested in cooperation with experts from software development, information system modelling and with companies where it should be implemented. The quality of the concept will be tested after its development and implementation within the Learning Factory infrastructure, and after that with different partners from the industry. Conclusion:
 The trend of Industry 4.0 requests companies to adopt to ever-changing conditions. Companies, especially SMEs, have difficulties in achieving Industry 4.0 skills. In the last few years, xRM has developed to a level where it can be used to connect both real and virtual entities. In that way, it became an appropriate framework in development of different solutions for Industry 4.0 cases and transferring the obtained knowledge and experience to stakeholders. Conclusion:
 In this paper, a solution using xRM framework for digitalization of workplaces in a manufacturing shop floor was presented. It is a framework for collection and integration of all the necessary data in one place. It ensures ""feeding"" workers in workplaces only with the data necessary for their tasks."
"Models for Improvement Management and Operational Performance","https://scispace.com/paper/models-for-improvement-management-and-operational-2dzhi1zrhq","2017","Dissertation","","Ruben Roque Dias","","https://scispace.com/pdf/models-for-improvement-management-and-operational-2dzhi1zrhq.pdf","Achieving high levels of performance in the manufacturing environment requires an increase in speed, quality and reliability of existing technologies. This is inherently related with the need to develop adequate process monitoring and modelling/simulation approaches, along with innovative optimization and maintenance strategies. The purpose of this dissertation is to provide a framework that can be used as a tool by decision makers when evaluating and controlling the performance of a system. To achieve this, a structured conceptual model should be developed, which should not be tied to any particular model. The idea with this framework is to assess information obtained during production and use it to generate relevant KPIs for monitoring and evaluating the system?s performance. This information should then be fed into a DSS that can provide suggestions or even actively influence simulation parameters to apply the identified improvement measures. Finally, the proposed framework is to be applied in a case-study to evaluate its relevance in the improvement of manufacturing operations in a real-world context.","factors, such as variations in customer demand, changes to a production schedule, machine failure and maintenance, shortage of raw materials, etc. In short, the framework should provide tools and methodologies that are adequate for an Industry 4.0-ready system. Improvement Management and Operational Performance framework:
 Decision makers contribute with valuable human expertise when it comes to controlling production and operations in a manufacturing system. Managing production schedules, coordinating maintenance operations, dealing with operators working different shifts and many other essential tasks. To aid decision makers with efficiently incorporating simulation into their decision process, the integration of DSS with simulation is paramount.  suggests three capability components to a DSS: a database management system (DBMS), a model management component or model base management system (MBMS) and a dialogue management component. In other terms, a DSS should encompass three core elements which are a database (and its management), a model base (the logic behind the support being provided) and an interface, that enables the user to interact with the system, view graphs and suggestions, etc. With this in mind, Figure .2 shows the suggested framework and its modules, and its analysis will be described hereafter. Improvement Management and Operational Performance framework:
 When dealing with production, both a real-world environment or the use of simulation software provide good opportunities for gathering useful information related to the flow of products and materials through the system, the performance of machines, tracking of orders, costs, and many other indicators that can give insights on what is happening within the system. In a real-world system, machines that are equipped with proper sensor networks can generate the massive amounts of information necessary for properly performing condition monitoring, making use of machine learning and other artificial intelligence techniques to anticipate possible undesired situations based on predictions and past information. Improvement Management and Operational Performance framework:
 Alternatively, in simulation environments the focus is often on more high-level production activities, such as product routing, scheduling, machine utilization, layouts, etc. In these cases, emulating data regarding machine health is not very practical when considering all the interactions to model within a factory. Furthermore, in comparison with real-world systems the data generated would possibly be in lesser quantity, and consequently the data mining techniques could prove less useful. For this reason, condition monitoring may not be very practical in a simulation environment that deals with these levels of interactions. Still, the proposed framework should have both situations in mind, and should be ready to support Big Data and complex data analysis. Because of this, the first of the three core elements previously mentioned, i.e. the database, should be capable of handling large amounts of information, and often traditional relational databases may not be the most adequately prepared for this. As such, the use of a time-series database is suggested, for its capability to support machine learning and knowledge inference as well as fact that most gathered information has a strong relation with time (e.g. the evolution of machine health through time -temperature, pressure, distance between parts, etc.). In addition, modelling a factory through simulation means that most likely there is interest in generating previews of many days/weeks/months in a short amount of time. Such databases support very high frequency read and write operations, which means that simulation speed is not limited by this choice. Improvement Management and Operational Performance framework:
 Regarding the implementation of the interface, there is a wide variety of tools available, and it will heavily depend on the desired objectives when constructing such a system."
"Towards ‘Lean Industry 4.0ʹ – Current trends and future perspectives","https://scispace.com/paper/towards-lean-industry-4-0-current-trends-and-future-hrhh6j2681","2020","Journal Article","Cogent Business & Management","Krzysztof Ejsmont
Bartlomiej Gladysz
Donatella Corti
Fernando Castaño
Wael M. Mohammed
Jose L. Martinez Lastra","10.1080/23311975.2020.1781995","https://scispace.com/pdf/towards-lean-industry-4-0-current-trends-and-future-hrhh6j2681.pdf","The enterprises to be competitive are constantly looking for continuous increase of productivity, quality and level of services. With the development of Industry 4.0 concept, manufacturers are more...","Industry 4.0 for the innovative design of smart manufacturing within the smart factory. It is also worth paying attention to two very extensive reviews of the literature on: the concept of smart factory and smart factory in combination with sustainable development and green growth concepts . Cluster 4 author's keywords: Industry 4.0, digital factory:
 The term digital factory, which is one of the key concepts in Industry 4.0, is used interchangeably with a virtual factory or a digital twin . An example of the digital twin application is presented in work . The digital factory is defined as an integrated simulation model providing advanced decision support capabilities . Simulation is therefore an important tool in the context of Industry 4.0 . The publication  presents the concept of Digital Factory 4.0, which is a teaching-learning environment in which participants along with a partner cooperating with the industry can independently solve complex tasks having a practical context. Analysis and explanation of the problem is possible based on a visit to a real object. In publication , the author state that Industry 4.0 of the textile industry requires a digital factory. CPS and IoT were recognized as the basic technologies. Publication  presents state-of-the-art planning and real-time production control in the digital factory of the future. An important requirement of the Digital Factory is to provide stakeholders with information and knowledge support during the decision-making process. Justin-time information retrieval (JITIR) in a digital factory environment is designed to provide stakeholder support through proactive but non-invasive delivery of required information at the right time based on user context. Decision-making activities are taken throughout the entire life cycle of the factory and include location and network planning, material handling and equipment design, process planning or factory operation . Cluster 5 author's keywords: Lean production, lean automation:
 The integration of Lean Production (LP) practices with Industry 4.0 technologies has been defined as Lean Automation (LA). Its assumption is greater flexibility, changeability and shorter information flow to meet future customer requirements . Due to the potential benefits of implementing Industry 4.0 technology, several authors  argued for the existence of new available application areas for LA. An example here is the implementation of flexible, efficient and affordable CPS . Currently, LA (Jidoka) using CPS is considered a profitable and effective approach to improving the flexibility of production systems. The publication  proposed the concept of Smart Lean Automation Engine Enabled by Cyber-Physical Systems Technologies (SLAE-CPS). Another example of LA is the use of modern ICT technologies for the Kanban method (electronic Kanban) . The next stage will be the integration of a larger number of available LP methods with the developed interface and the creation of other LA solutions using this interface . LA levels are presented in . Burst detection analysis:
 Available literature from a research field can be treated as a series of topics that appear, gain popularity and intensity during a certain period, and then disappear. The appearance of a given topic in the document stream is signaled by a ""burst of activity"". Some features increase rapidly as a topic appears (e.g., citations).  developed a formal approach to modeling ""bursts"" in such a way that they can be reliably and effectively identified. Burst detection analysis:
 The Kleinberg approach is based on stream modeling using an infinite state automaton in which bursts occur naturally as state changes. In some ways this is an analogy to queuing theory models for burst network traffic."
"Factors Influencing the Acceptance and Use of Internet of Things by Universities","https://scispace.com/paper/factors-influencing-the-acceptance-and-use-of-internet-of-2yhu0l87","2022","Journal Article","Information Resources Management Journal","Olusegun Ademolu Ajigini","10.4018/irmj.305244","https://scispace.com/pdf/factors-influencing-the-acceptance-and-use-of-internet-of-2yhu0l87.pdf","Internet of Things (IoT) is a new concept bringing revolution to higher educational institutions through its usage by providing smart education and better learning outcomes. It has generated new interest and complexities for researchers as well as academicians in higher educational institutions. In this paper, factors influencing the acceptance and usage of IoT in higher educational institutions were developed. Additionally, a model for consenting and using IoT in higher educational institutions was developed. This study laid a foundation for a comprehensive model based on the UTAUT framework. Regression analysis was carried out to obtain the factors that predicts the acceptance and usage of IoT in higher educational institutions. All test results were reliable and valid. The study demonstrates how university administrators can use IoT technologies to improve educational operations and outcomes.","namely: (a) Factory-to-classroom and (b) Laboratoryto-factory . The teaching factory network facilitates the connection between industrial (factories) and academic (classroom) players and enhance the launch of collaboration production training projects of joint business interest . Teaching Factory Model:
 TF has developed as a capable paradigm for combining the learning and working environments . It is aided and accelerated by advanced ICTs and high-grade industrial educational tools and works as a bi-directional knowledge communication network that brings the real factory to the classroom and the academic lab to the factory . According to , the research work under the teaching factory model explains how the introduction of cyber-physical systems and Industry 4.0 technology can improve manufacturing training while addressing the growing need for highly skilled workers. Teaching Factory Model:
 The lab-to-factory TF process intends to shift knowledge from academia to industry. Industrialgrade of educational equipment in the academic resources are utilized as test beds and demonstrators for new technological notions that are to be certified and introduced to industrial practice. The TF paradigm has been evaluated based on real-life applications as well as with industrial organizations . Learning Factory Model:
 Learning factory (LF) is a subset of the teaching factory and it is a notion that relies on the university equipment, with manufacturing facilities looking like the industrial environment inside the university campus, and people from both academia and industry engaging in specified courses. This is carried out to promote new manufacturing trends, notion, and knowledge in the academic environment. Universities and training facilities need to identify future job outlines and associated competence requirements by adopting and enhancing their educational concepts . Industry now wants interdisciplinary training that triggers the already confirmed education and training in learning factories. Learning Factory Model:
 The National Science Foundation (NSF) in USA gave a grant to Penn State University to develop a learning factory in 1994 and this was the first time that the term ""learning factory"" was created and patented. It is regarded as the interdisciplinary hands-on senior engineering design projects that have strong connections and collaborations with industry. Learning factory also refers to hands-on senior engineering design ventures that interconnect with the industry, thus increasing industrial learning and training for young engineers while offering the requirements for small Medium Enterprises (SMEs) to investigate technology via this mode . Advanced education which is otherwise known as Education 4.0 and networked environments will advance knowledge and expertise for the new manufacturing age . Learning Factory Model:
 The early model of learning factories specifies the hands-on experience obtained from knowledge application learned from engineering education to decipher real problems in industry and design as well as redesign products to fulfill classified needs . Many different types of learning factories have been built in the last years . Learning Factory Model:
 Learning factories offer a genuineness production environment as a learning environment that make minor abstractions possible. That is, processes and technologies inside the learning factory are constructed on real industrial sites. Trainees can perform experiments, discover and test approaches in learning factories on organizational and technological industry-related matters . Learning factories main goals are either technological and/or organizational innovation (for research purposes) or an active competency development (for educational and training purposes). Consequently, an educational notion specifying what and how should be learned by whom is an unquestionable part of a learning factory. Learning in the learning factory can either occur in the planning, realization and ramp-up stage or in the enhancement of existing processes and factory environments."
"A Decade of Research on Industry 4.0: A Bibliometric Study of Key Research Areas with Life Cycle Analysis of Publication Dynamics","https://scispace.com/paper/a-decade-of-research-on-industry-4-0-a-bibliometric-study-of-fuspyez8","2022","Journal Article","European Research Studies Journal","Bożena Gajdzik","10.35808/ersj/2910","https://scispace.com/pdf/a-decade-of-research-on-industry-4-0-a-bibliometric-study-of-fuspyez8.pdf","","paper was to analyse the dynamics of publications on Industry 4.0. The paper is based on the analysis of bibliometric data collected in the WoS database from 2011 to 2021 for the subject (Industry 4.0). About the Concept of Industry 4.0:
 Since the concept of Industry 4.0 was initiated, there have been difficulties in defining it. It is difficult to search in literature for a universal definition of Industry 4.0, which has been copied by other authors. Industry 4.0 is both a paradigm and a philosophy of the development of industry in the fourth revolution, as well as a set of key technologies of that revolution which, when introduced (implemented) in enterprises, will create cyber-physical production systems in place of old manufacturing systems, and factories will transform into smart factories. Industry 4.0 is a popular term to describe the trend towards digitisation and automation of the manufacturing environment . Background for Industry 4.0 is an increasing use of automation, data processing and exchange, cyber-physical systems, Internet of things and cloud technology in industry. Industry 4.0 is a modern concept of development and global challenge for the existence of manufacturing sectors. The Industry 4.0 concept represents a paradigm shift where physical objects are seamlessly integrated into information networks . Industry 4.0 is a megatrend and a strongly popularised change in the fourth revolution. This megatrend focuses on the establishment of intelligent products and production processes as future manufacturing factories have to cope with the need of rapid product development and flexible production, as well as complex environments (Erro-Garcés, 2020 based on . Companies creating Industry 4.0, aim to make their production intelligent, which requires the construction of cyber-physical production systems. The architecture of cyber-physical production systems (CPPS), was proposed by : 1. Connection level, 2. Conversion level, 3. Cyber level, 4. Cognition level, 5. Configuration level. Cyber-physical systems are engineering systems to monitor, control and integrate operations in physical and computer (digital) systems (structures) .  listed three basic technological components that form the framework of Industry 4.0, they are: 1. Digitization of production −information systems for management and production planning, 2. Automation − systems for data acquisition from the production lines and using machines, 3. Linking manufacturing sites in a comprehensive supply chain-Automatic Data Interchange. Industry 4.0 is defined by smart, efficiency, effectiveness, optimisation, dynamism, personalisation and castomisation of production at reasonable (acceptable) costs . In this Industry 4.0, the Internet of Things (IoT) has an important place, without which the CPS in smart factories does not function. IoT, and in particular the Industrial Internet of Things (IIoT) as a huge collection of industrial computers, sensors, installations, networked systems. IIoT enables communication, data exchange and analysis between installations and products ."
"Comparative Evaluation of Database Performance in an Internet of Things Context","https://scispace.com/paper/comparative-evaluation-of-database-performance-in-an-lf9f4m1i2v","2018","Proceedings Article","International Conference on Systems and Networks Communications","Denis Arnst
Valentin Plenk
Adrian Wöltche","","https://scispace.com/pdf/comparative-evaluation-of-database-performance-in-an-lf9f4m1i2v.pdf","","Arnst,Valentin Plenk,Adrian Wöltche Keywords: performance, benchmark, nosql, relational, database, industry 4.0, mariadb, mongodb, influxdb, internet of things, high frequency data acquisition, time series I. INTRODUCTION:
 Recently popular media are heralding the advent of a new age with buzzwords like ""Internet of Things"" (IoT) or ""Industry 4.0"" (I4.0). One of the popular mantras is ""data is the new oil"". This claim is surely true for applications like predictive maintenance where data gathered during operation of a production machine is mined for wear indicators. Many papers address the ""refining process"" (e.g. - ) and propose data-mining algorithms that extract said indicators from a database or a data lake. I. INTRODUCTION:
 In this paper, however, we focus on collecting and storing time series data as integral part of the industrial data analytics process . This can be very challenging both in terms of engineering the instrumentation and in implementing fast dataacquisition and data-handling software. In one of our research projects, we collect and store ≈ 4 GB day . Standard databases can be tuned towards high performance reading or writing of data, but often not towards both at once. Especially when a fast retrieval of time series data is of interest, for example in predictive analytics, relational databases rely on B-tree indexes that permit a fast search for data. These indexes are a huge performance bottleneck if frequent updates are made. This stems from B-trees being optimized for random fills and not for updates only coming from one side of the tree.  propose structures like the B(x)-tree to overcome this problem. Nevertheless, standard databases do not implement specialized index structures in most cases. Instead, specialized ""time-series"" databases for this use case exists (e.g. - ). I. INTRODUCTION:
 To verify whether these databases are more suitable for our application, we use the benchmark scenario presented in Section II that generates a standard load on all subsystems of the setup, to compare relational, NoSQL and specialized time-series databases. Section III presents our test candidates. I. INTRODUCTION:
 In Section IV, we describe the different implementations we developed for writing to the databases. We evaluated several ideas from , such as time series grouping. I. INTRODUCTION:
 To evaluate the database performance we measure the load on the involved infrastructural components, i.e., CPU, memory, network and hard disk, and perform the benchmarking, as described in Section V. Section VI discusses our findings. Section VII summarizes the paper and gives a brief outlook on our future work. II. BENCHMARK APPLICATION One of our currrent projects is using predictive maintenance for analyzing data stemming from a complex tool operating within an industrial machine. The tool is equipped with 13 analog and 37 digital sensors recording mechanical parameters during operation of the tool. The machine tool opens and closes the tool ≈ 3 times per second, i.e., 3 working cycles per second. Our application records ≈ 300 samples per cycle from the sensors and stores them in a database for later analysis."
"Evaluation of OPC-UA communication in an autonomous advanced manufacturing cell implementation","https://scispace.com/paper/evaluation-of-opc-ua-communication-in-an-autonomous-advanced-2udbipclzg","2020","Journal Article","","Rodrigo Filev Maia
Ângelo Jorge Bálsamo
Guilherme A. Wachs Lopes
Alexandre Augusto Massote
Fabio Lima","10.1590/0104-530X5414-20","https://scispace.com/pdf/evaluation-of-opc-ua-communication-in-an-autonomous-advanced-2udbipclzg.pdf","The recent development of advanced manufacturing concepts brings new challenges for developing countries in order to prepare their workforce and industries for local and global markets. To explore and disseminate advanced manufacturing concepts, the first autonomous advanced manufacturing cell developed in Brazil as a result of a partnership between global and local companies and academia was designed and evaluated. This paper aims to describe the advanced manufacturing cell, the equipment composing the infrastructure, and the network topology and equipment that could deal with the heterogeneity of equipment and protocol. Moreover, the behavior of the Open Platform Communications Unified Architecture (OPC UA) communication framework (and related protocols) as the integration element between the equipment composing the cell was evaluated. The results indicated that the OPC UA communication framework promotes a low traffic overhead and can also be used to carry data from the traditional protocols in their fields without restrictions that could hinder production. The paper also discusses how the exchange of data occurred between the equipment used in the production and the control systems via the protocol studied. The OPC UA communication framework protocols presented a messaging structure and data transport characteristics that satisfy the integration needs between equipment of several manufacturers that composed an autonomous cell of advanced manufacturing. This paper also presents some key challenges to integrating all equipment not addressed by the OPC UA reference model.","cyber-physical systems (CPSs) to industrial production systems (cyber-physical production systems) . The use of CPSs can provide, for example, a combined approach between the process and the product in automated production systems, as proposed in . Industry 4.0:
 From the academic side, an increase in the number of works on the subject of I4.0 has been observed from 2014 , leaving the hype behind . The researches encompass all the components and technologies of I4.0 considering the discussion of concepts and implementation.  apply a bibliometric methodology to identify common terms in 618 selected papers in order to establish a term understanding related to Industry 4.0 (and used in this work).  first proposed a hierarchical architecture of the smart factory and then analyzed the key technologies in relation to the physical resource layer, the network layer, and the data application layer.  clarify the concepts of the IoT, the Industrial IoT, and Industry 4.0. They highlight the opportunities brought in by this paradigm shift as well as the challenges for its realization. In particular, they focus on the challenges associated with the need for energy efficiency, real-time performance, coexistence, interoperability, and security and privacy. They also provide a systematic overview of the state-of-the-art research efforts and potential research directions to solve Industrial IoT challenges. Industry 4.0:
 The work of  provides a literature overview of Industry 4.0, stressing the necessity of interoperability in this new manufacturing model.  present a cloud-centric framework for the implementation of the smart factory. Three protocols are used in the implementation: Ether-CAT, DDS, and OPC UA, but OPC UA is only used to send data to the cloud.  describe the building of an Industry 4.0 compliant lab environment, which consists of a service-oriented shop floor (OT level) and three major management systems: an ERP system, a database, and simulation for predictive maintenance (IT level). The OPC UA protocol is used in the integration of lower-level systems and upper-level systems.  present a solution to enhance the connectivity of a legacy Flexible Manufacturing System (FMS), which constitutes the first step in the adoption of the Industry 4.0 concept. The idea is to provide the retrofit of a classical FMS to insert this kind of system into the Industry 4.0 world through the adoption of modern sensors."
