"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Digital Twin to Control and Monitor an Industrial Cyber-Physical Environment Supported by Augmented Reality","https://scispace.com/paper/digital-twin-to-control-and-monitor-an-industrial-cyber-1b7yoe8s","2023","Journal Article","Applied Sciences","Gustavo Caiza
Ricardo Sanz","10.3390/app13137503","","Increasing industrial development and digital transformations have given rise to a technology called Digital Twin (DT) that has the potential to break the barrier between physical and cyberspace. DT is a virtual and dynamic model enabled through a bidirectional data flow that creates high-reliability models with interconnection and fusion between the physical and digital systems for full integration. In smart manufacturing, this technology is increasingly used in research and industry. However, the studies conducted do not provide a definition or a single integrally connected model. To develop the Digital Twin shown in this research, the literature was reviewed to learn about the enabling technologies and architectures used at the industrial level. Then, a methodology was used to obtain the physical process information, create the digital environment, communicate the physical environment, apply simulation models in the digital environment, and parameterize the simulation environment with the physical process in real-time to obtain the digital twin supported with augmented reality. The system was implemented in the MPS-500 modular production station that has industrial sensors and actuators. The virtual environment was designed with Blender and Vuforia to create the augmented reality environment. In the proposed methodology, robust devices (field and control level) and low-cost embedded systems were used for the creation and communication of the virtual environment (monitoring and control); for the joint work of these technologies, they were carried out through the use of the following protocols: Open Platform Communications United Architecture (OPC UA), Ethernet, and machine to machine (M2M), with which a communication was achieved between the different levels of the automation pyramid. The results show that the proposed methodology for the implementation of the DT allows bidirectional communication between the physical and virtual environment and can also be visualized with the support of AR, thus providing its characteristics to the proposed DT. Digital Twin is an essential factor in creating virtual environments and improving applications between the real and digital world, establishing a bidirectional communication through the Ethernet protocol, with a communication time of approximately 100 ms. This technology interacts with the virtual environment and performs mappings, thus achieving timely and dynamic adjustment. This improves data management and production and incorporates process simulation and physical control in real-time, allowing to execute and trigger actions in the physical equipment simultaneously.","In this article , the authors proposed a methodology for the implementation of the Digital Twin (DT) which allows bidirectional communication between the physical and virtual environment and can also be visualized with the support of AR."
"Proposing a Small-Scale Digital Twin Implementation Framework for Manufacturing from a Systems Perspective","https://scispace.com/paper/proposing-a-small-scale-digital-twin-implementation-38awrn3v","2023","Journal Article","Systems","Jonatan H. Loaiza
Robert Cloutier
Kari J. Lippert","10.3390/systems11010041","","Due to the fourth industrial revolution, manufacturing companies are looking to implement digital twins in their factories to be more competitive. However, the implementation of digital twins in manufacturing systems is a complex task. Factories need a framework that can guide them in the development of digital twins. Hence, this article proposes a small-scale digital twin implementation framework for manufacturing systems. To build this framework, the authors gathered several concepts from the literature and designed a digital twin subsystem model using a model-based systems engineering (MBSE) approach and the systems engineering “Vee” model. The systems modelling defines the digital twin components, functionalities, and structure. The authors distribute most of these concepts throughout the framework configuration and some concepts next to this general configuration. This configuration presents three spaces: physical, virtual, and information. The physical space presents a physical layer and a perception layer. The information space has a single layer called middleware. Finally, the virtual space presents two layers: application and model. In addition to these layers, this framework includes other concepts such as digital thread, data, ontology, and enabling technologies. This framework could help researchers and practitioners to learn more about digital twins and apply it to different domains.","In this article, a digital twin subsystem model using model-based systems engineering (MBSE) approach and the systems engineering ""Vee"" model is proposed for manufacturing systems."
"Digital Twins in Industry 5.0: Challenges in Modeling and Communication","https://scispace.com/paper/digital-twins-in-industry-5-0-challenges-in-modeling-and-1x5v9eky","2023","Proceedings Article","IEEE/IFIP Network Operations and Management Symposium","Marcell Balogh
András Földvári
Pal Varga","10.1109/NOMS56928.2023.10154424","","Digital Twins help to optimize the overall engineering process – from requirement setting through design and operations to maintenance and evolution. In order to handle the complexity they may bring throughout the lifecycle, it is worth modeling the behavior and interactions of physical systems. The same applies to digital twins, although modeling their interaction could be more challenging than handling the interaction of merely physical systems. Furthermore, the newly emerging industrial requirements on interoperability, reconfigurability, man-machine collaboration, and self-optimizing production necessitate the application of new networking paradigms. This paper provides an overview of the expectations and feasibility of modeling, communication, and networking challenges of digital twins for the upcoming revolution of Industry 5.0.","In this paper , the authors provide an overview of the expectations and feasibility of modeling, communication, and networking challenges of digital twins for the upcoming revolution of Industry 5.0, focusing on the new emerging industrial requirements on interoperability, reconfigurability, man-machine collaboration, and self-optimizing production."
"Towards a Domain-Neutral Platform for Sustainable Digital Twin Development","https://scispace.com/paper/towards-a-domain-neutral-platform-for-sustainable-digital-2frazndn2g","2023","Journal Article","Sustainability","Goran Sladić
Milan Segedinac
Zora Konjović
Milan Vidaković
Radoslav Dutina","10.3390/su151813612","","In this paper, we propose an abstract domain-neutral architecture for a cognitive digital twin (CDT) and a software platform to develop such CDTs, including machine reasoning capabilities. Sustainable development refers here to an abstract model that enables a holistic view of limiting resources and has an ability to adapt to different application domains while reusing existing resources. The proposed solution allows for a unified abstract representation and the development of a wide range of diverse digital twins, as well as facilitating their interoperability. The abstract architecture consists of a four-layer structure (observation/actuation layer, data management layer, reasoning layer, and simulation layer) with an upper ontology to which the domain ontology of the specific CDT is mapped. The architecture relies on semantic web technologies, including ontology-based reasoning using OWL, and a loosely coupled, component-based service-oriented software architecture. The platform utilizes a microservice architecture that enables separate, loosely coupled services on each layer, message queues to provide asynchronous communication, and possesses cloud technologies to achieve scalability. The proposed approach was validated by implementing a software platform prototype and demonstrating its key features through two dissimilar scenarios. The first scenario demonstrates simple sustainable energy management through IoT systems inside smart buildings, while the second one demonstrates knowledge quality management based on knowledge space theory.","This paper proposes an abstract domain-neutral architecture for a cognitive digital twin (CDT) and a software platform to develop such CDTs, including machine reasoning capabilities, and demonstrates knowledge quality management based on knowledge space theory."
"Design, Modeling and Implementation of Digital Twins","https://scispace.com/paper/design-modeling-and-implementation-of-digital-twins-1lanv9c3","2022","Journal Article","Sensors","Mariana Segovia
Joaquín Martínez García","10.3390/s22145396","","A Digital Twin (DT) is a set of computer-generated models that map a physical object into a virtual space. Both physical and virtual elements exchange information to monitor, simulate, predict, diagnose and control the state and behavior of the physical object within the virtual space. DTs supply a system with information and operating status, providing capabilities to create new business models. In this paper, we focus on the construction of DTs. More specifically, we focus on determining (methodologically) how to design, create and connect physical objects with their virtual counterpart. We explore the problem into several phases: from functional requirement selection and architecture planning to integration and verification of the final (digital) models. We address as well how physical components exchange real-time information with DTs, as well as experimental platforms to build DTs (including protocols and standards). We conclude with a discussion and open challenges.","This paper addresses as well how physical components exchange real-time information with DTs, as well as experimental platforms to build DTs (including protocols and standards)."
"An Interoperable Digital Twin with the IEEE 1451 Standards","https://scispace.com/paper/an-interoperable-digital-twin-with-the-ieee-1451-standards-mcv0ihag","2022","Journal Article","Sensors","Helbert da Rocha
João L. Serras Pereira
Reza Abrishambaf
Antonio Espirito-Santo","10.3390/s22197590","","The shop floor or factory floor is the area inside a factory where manufacturing production is executed. The digitalisation of this area has been increasing in the last few years, introducing the Digital Twin (DT) and the Industry 4.0 concepts. A DT is the digital representation of a real object or an entire system. A DT includes a high diversity of components from different vendors that need to interact with each other efficiently. In most cases, the development of standards and protocols does not consider the need to operate with other standards and protocols, causing interoperability issues. Transducers (sensors and actuators) use the communication layer to exchange information with digital contra parts, and for this reason, the communication layer is one of the most relevant aspects of development. This paper covers DT development, going from the physical to the visualisation layer. The reference architecture models, standards, and protocols focus on interoperability to reach a syntactic level of communication between the IEEE 1451 and the IEC 61499 standards. A semantic communication layer connects transducer devices to the digital representation, achieving a semantic level of interoperability. This communication layer adds semantics to the communication process, allowing the development of an interoperable DT based on the IEEE 1451 standards. The DT presented reaches the syntactic and semantic levels of interoperability, allowing the monitoring and visualisation of a prototype system.","The DT presented reaches the syntactic and semantic levels of interoperability, allowing the monitoring and visualisation of a prototype system."
"Data architecture and model design for Industry 4.0 components integration in cyber-physical production systems:","https://scispace.com/paper/data-architecture-and-model-design-for-industry-4-0-4xzci8zhy6","2021","Journal Article","","Vincent Havard
M'hammed Sahnoun
Belgacem Bettayeb
Fabrice Duval
David Baudry","10.1177/0954405420979463","","In the context of Industry 4.0, Cyber-Physical Production Systems (CPPS) and digital twins are key technologies for the management of huge amount of data generated by Industrial Internet of things ...","This paper proposes a database architecture and a data model associated allowing multiple agents to work collaboratively and synchronously to perform high-level tasks and fulfils requirements and needs of Industry 4.0: interoperability, scalability, flexibility and resilience."
"Semantic Microservice Framework for Digital Twins","https://scispace.com/paper/semantic-microservice-framework-for-digital-twins-1sj12z0b6m","2021","Journal Article","Applied Sciences","Gernot Steindl
Wolfgang Kastner","10.3390/APP11125633","","Digital Twins (DT) in industrial cyber-physical systems are the key enabling technology for Industry 4.0. Services are an essential part of almost every DT concept, but their interaction is usually implementation-specific since no common guidelines are available. This work identifies some fundamental requirements for a DT service framework based on applications identified in corresponding literature. Based on these requirements, a service framework architecture is proposed. The architecture utilizes Semantic Web technology and a workflow engine for service orchestration to support the fulfilment of the identified requirements. As a case study for sensor data evaluation of an industrial process, a proof-of-concept implementation is presented, showing the feasibility and suitability of the proposed DT service framework architecture.","This work identifies some fundamental requirements for a DT service framework based on applications identified in corresponding literature and proposes a service framework architecture that utilizes Semantic Web technology and a workflow engine for service orchestration to support the fulfilment of the identified requirements."
"Architecture Blueprint Enabling Distributed Digital Twins","https://scispace.com/paper/architecture-blueprint-enabling-distributed-digital-twins-2txnglhl1g","2021","Proceedings Article","Engineering of Computer-Based Systems","Frank Schnicke
Daniel Espen
Pablo Oliveira Antonino
Thomas Kuhn","10.1145/3459960.3459978","","Mass production today is optimized for large lot sizes, and changes to industrial production lines are effort-intense, time-consuming, and costly. The fourth industrial revolution, Industry 4.0 (I4.0), aims at reducing the effort needed for changes in industrial production lines. The key benefits of next-generation manufacturing systems are less downtimes and the production of small lot sizes down to lot size 1. I4.0 does not introduce a silver bullet technology, but requires a transformation of the system architecture of production systems. In the literature, however, there systematic guidance for designing manufacturing systems that address central I4.0 use cases like plug'n’produce and end-to-end communication is still missing, as are details on the infrastructure needed to enable I4.0 technologies such as Digital Twins. To contribute to filling this gap, this paper presents (i) a Digital Twin architecture blueprint driven by central I4.0 use cases and (ii) a prototypical open-source implementation of the architecture using the concept of the Asset Administration Shell.","In this paper, a Digital Twins architecture for Industry 4.0 is presented and a prototypical open-source implementation of the architecture using the concept of the Asset Administration Shell is presented."
"Recent advances on industrial data-driven energy savings: Digital twins and infrastructures","https://scispace.com/paper/recent-advances-on-industrial-data-driven-energy-savings-2oe1nlcxah","2021","Journal Article","Renewable & Sustainable Energy Reviews","Sin Yong Teng
Michal Touš
Wei Dong Leong
Bing Shen How
Hon Loong Lam
Vítězslav Máša","10.1016/J.RSER.2020.110208","","Data-driven models for industrial energy savings heavily rely on sensor data, experimentation data and knowledge-based data. This work reveals that too much research attention was invested in making data-driven models, as supposed to ensuring the quality of industrial data. Furthermore, the true challenge within the Industry 4.0 is with data communication and infrastructure problems, not so significantly on developing modelling techniques. Current methods and data infrastructures for industrial energy savings were comprehensively reviewed to showcase the potential for a more accurate and effective digital twin-based infrastructure for the industry. With a few more development in enabling technologies such as 5G developments, Internet of Things (IoT) standardization, Artificial Intelligence (AI) and blockchain 3.0 utilization, it is but a matter of time that the industry will transition towards the digital twin-based approach. Global government efforts and policies are already inclining towards leveraging better industrial energy efficiencies and energy savings. This provides a promising future for the development of a digital twin-based energy-saving system in the industry. Foreseeing some potential challenges, this paper also discusses the importance of symbiosis between researchers and industrialists to transition from traditional industry towards a digital twin-based energy-saving industry. The novelty of this work is the current context of industrial energy savings was extended towards cutting-edge technologies for Industry 4.0. Furthermore, this work proposes to standardize and modularize industrial data infrastructure for smart energy savings. This work also serves as a concise guideline for researchers and industrialists who are looking to implement advanced energy-saving systems.","This work proposes to standardize and modularize industrial data infrastructure for smart energy savings and discusses the importance of symbiosis between researchers and industrialists to transition from traditional industry towards a digital twin-based energy-saving industry."
"The Redundant Virtual Sensors via Edge Computing","https://scispace.com/paper/the-redundant-virtual-sensors-via-edge-computing-ukew88nbd4","2021","Proceedings Article","International Conference on Applied Electronics","Peter Peniak
Emília Bubeníková
Alzbeta Kanalikova","10.23919/AE51540.2021.9542888","","In the paper, we share our research results and experiences with the redundant virtual sensors. The main focus is paid on the creation of the model for redundant virtual sensors, applying the concept of “digital twins” that are associated with physical sensors. Virtual sensor can be implemented as a software instance in Cloud (SaS) or physical device via Edge computing. The goal is to create a common model which would enable a generic approach independently on vendors' implementation. MQTT protocol was selected as the main integration platform that is supported by various IoT devices and mainly sensors. To enable feasible implementation of a redundant sensor, Edge computing is used as a platform to host digital twins for physical devices. The redundant sensors can be applied for variety fail-safe applications, such control systems of tunnels.","In this paper, the authors share their research results and experiences with the redundant virtual sensors, which can be implemented as a software instance in the cloud or a physical device via edge computing."
"Digital Twin Data Pipeline Using MQTT in SLADTA","https://scispace.com/paper/digital-twin-data-pipeline-using-mqtt-in-sladta-2qju7n8ibg","2020","Book Chapter","","Carlo Human
Anton Basson
Karel Kruger","10.1007/978-3-030-69373-2_7","","Digital twins, defined here as the virtual representations of real-world entities to facilitate their integration with digital systems, have become a popular concept in Industry 4.0. The Six-Layer Architecture for Digital Twins with Aggregation (SLADTA) is a framework for a digital twin suitable for complex systems with a large network of devices. An important part of this architecture is using an asynchronous, secure and vendor-neutral communication protocol suitable for a large network of devices. MQTT is here evaluated as a communication protocol for a digital twin data pipeline based of SLADTA. The evaluation includes a case study for a simulated heliostat field, using MQTT through Google Cloud Platform’s (GCP) IoT Core broker and the accompanying Cloud Pub/Sub service. For comparison, the case study also uses MQTT through the Eclipse Mosquitto broker. The case study demonstrates the potential of MQTT in SLADTA for complex systems’ digital twins.","The evaluation includes a case study for a simulated heliostat field, using MQTT through Google Cloud Platform’s (GCP) IoT Core broker and the accompanying Cloud Pub/Sub service, which demonstrates the potential of MqTT in SLADTA for complex systems’ digital twins."
"Systems Architecture Design Pattern Catalog for Developing Digital Twins","https://scispace.com/paper/systems-architecture-design-pattern-catalog-for-developing-36qw48lv9n","2020","Journal Article","Sensors","Bedir Tekinerdogan
Cor Verdouw","10.3390/S20185103","","A digital twin is a digital replica of a physical entity to which it is remotely connected. A digital twin can provide a rich representation of the corresponding physical entity and enables sophisticated control for various purposes. Although the concept of the digital twin is largely known, designing digital twins based systems has not yet been fully explored. In practice, digital twins can be applied in different ways leading to different architectural designs. To guide the architecture design process, we provide a pattern-oriented approach for architecting digital twin-based Internet of Things (IoT) systems. To this end, we propose a catalog of digital twin architecture design patterns that can be reused in the broad context of systems engineering. The patterns are described using the well-known documentation template and support the various phases in the systems engineering life cycle process. For illustrating the application of digital twin patterns, we adopt a case study in the agriculture and food domain.","This work proposes a catalog of digital twin architecture design patterns that can be reused in the broad context of systems engineering and describes the patterns using a well-defined pattern documentation template."
