"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Techno-economic analysis of renewable energy generation at the South Pole","https://scispace.com/paper/http://arxiv.org/abs/2306.13552v2","2023","Preprint","","Susan Babinec
Ian Baring-Gould
Amy N. Bender
Nate Blair
Xiangkun Li
Ralph T. Muehleisen
Dan Olis
Silvana Ovaitt","10.1016/j.rser.2023.114274","https://arxiv.org/pdf/2306.13552v2","Transitioning from fossil-fuel power generation to renewable energy generation and energy storage in remote locations has the potential to reduce both carbon emissions and cost. This study presents a techno-economic analysis for implementation of a hybrid renewable energy system at the South Pole in Antarctica, which currently hosts several high-energy physics experiments with nontrivial power needs. A tailored model of resource availability and economics for solar photovoltaics, wind turbine generators, lithium-ion energy storage, and long-duration energy storage at this site is explored in different combinations with and without existing diesel energy generation. The Renewable Energy Integration and Optimization (REopt) platform is used to determine the optimal system component sizing and the associated system economics and environmental benefit. We find that the least-cost system includes all three energy generation sources and lithium-ion energy storage. For an example steady-state load of 170 kW, this hybrid system includes 180 kW-DC of photovoltaic panels, 570 kW of wind turbines, and a 3.4 MWh lithium-ion battery energy storage system. This system reduces diesel consumption by 95% compared to an all-diesel configuration, resulting in approximately 1200 metric tons of carbon footprint avoided annually. Over the course of a 15-year analysis period the reduced diesel usage leads to a net savings of 57 million United States dollars, with a time to payback of approximately two years. All the scenarios modeled show that the transition to renewables is highly cost effective under the unique economics and constraints of this extremely remote site."
"Engineering and Validating Cyber-Physical Energy Systems: Needs, Status Quo, and Research Trends","https://scispace.com/paper/http://arxiv.org/abs/2502.16991v1","2025","Preprint","","Thomas I. Strasser
Filip Pröstl Andrén","10.1007/978-3-030-27878-6_2","https://arxiv.org/pdf/2502.16991v1","A driving force for the realization of a sustainable energy supply is the integration of renewable energy resources. Due to their stochastic generation behaviour, energy utilities are confronted with a more complex operation of the underlying power grids. Additionally, due to technology developments, controllable loads, integration with other energy sources, changing regulatory rules, and the market liberalization, the systems operation needs adaptation. Proper operational concepts and intelligent automation provide the basis to turn the existing power system into an intelligent entity, a cyber-physical energy system. The electric energy system is therefore moving from a single system to a system of systems. While reaping the benefits with new intelligent behaviors, it is expected that system-level developments, architectural concepts, advanced automation and control as well as the validation and testing will play a significantly larger role in realizing future solutions and technologies. The implementation and deployment of these complex systems of systems are associated with increasing engineering complexity resulting also in increased engineering costs. Proper engineering and validation approaches, concepts, and tools are partly missing until now. Therefore, this paper discusses and summarizes the main needs and requirements as well as the status quo in research and development related to the engineering and validation of cyber-physical energy systems. Also research trends and necessary future activities are outlined."
"Learning-Assisted Secure End-to-End Network Slicing for Cyber-Physical Systems","https://scispace.com/paper/http://arxiv.org/abs/1910.13537v1","2019","Preprint","","Qiang Liu
Tao Han
Nirwan Ansari","","https://arxiv.org/pdf/1910.13537v1","There is a pressing need to interconnect physical systems such as power grid and vehicles for efficient management and safe operations. Owing to the diverse features of physical systems, there is hardly a one-size-fits-all networking solution for developing cyber-physical systems. Network slicing is a promising technology that allows network operators to create multiple virtual networks on top of a shared network infrastructure. These virtual networks can be tailored to meet the requirements of different cyber-physical systems. However, it is challenging to design secure network slicing solutions that can efficiently create end-to-end network slices for diverse cyber-physical systems. In this article, we discuss the challenges and security issues of network slicing, study learning-assisted network slicing solutions, and analyze their performance under the denial-of-service attack. We also present a design and implementation of a small-scale testbed for evaluating the network slicing solutions."
"A Scalable Automatic Model Generation Tool for Cyber-Physical Network Topologies and Data Flows for Large-Scale Synthetic Power Grid Models","https://scispace.com/paper/http://arxiv.org/abs/2504.06396v1","2025","Preprint","","Samantha Israel
Sanjana Kunkolienkar
Ana Goulart
Kate Davis
Thomas Overbye","","https://arxiv.org/pdf/2504.06396v1","Power grids and their cyber infrastructure are classified as Critical Energy Infrastructure/Information (CEII) and are not publicly accessible. While realistic synthetic test cases for power systems have been developed in recent years, they often lack corresponding cyber network models. This work extends synthetic grid models by incorporating cyber-physical representations. To address the growing need for realistic and scalable models that integrate both cyber and physical layers in electric power systems, this paper presents the Scalable Automatic Model Generation Tool (SAM-GT). This tool enables the creation of large-scale cyber-physical topologies for power system models. The resulting cyber-physical network models include power system switches, routers, and firewalls while accounting for data flows and industrial communication protocols. Case studies demonstrate the tool's application to synthetic grid models of 500, 2,000, and 10,000 buses, considering three distinct network topologies. Results from these case studies include network metrics on critical nodes, hops, and generation times, showcasing effectiveness, adaptability, and scalability of SAM-GT."
"Security of Cyber-Physical Systems. From Theory to Testbeds and Validation","https://scispace.com/paper/http://arxiv.org/abs/1711.11464v1","2017","Preprint","","Jose Rubio-Hernan
Juan Rodolfo-Mejias
Joaquin Garcia-Alfaro","10.1007/978-3-319-61437-3_1","https://arxiv.org/pdf/1711.11464v1","Traditional control environments connected to physical systems are being upgraded with novel information and communication technologies. The resulting systems need to be adequately protected. Experimental testbeds are crucial for the study and analysis of ongoing threats against those resulting cyber-physical systems. The research presented in this paper discusses some actions towards the development of a replicable and affordable cyber-physical testbed for training and research. The architecture of the testbed is based on real-world components, and emulates cyber-physical scenarios commanded by SCADA (Supervisory Control And Data Acquisition) technologies. We focus on two representative protocols, Modbus and DNP3. The paper reports as well the development of some adversarial scenarios, in order to evaluate the testbed under cyber-physical threat situations. Some detection strategies are evaluated using our proposed testbed."
"Analysis and Design of Uncertain Cyber-Physical Systems","https://scispace.com/paper/http://arxiv.org/abs/2308.00052v1","2023","Preprint","","Alessandro Pinto","","https://arxiv.org/pdf/2308.00052v1","Several sources of uncertainty have to be taken into account in the analysis and design of CPS. The set of parameters used in the model of the physical plant of a CPS may be uncertain due, for example, to manufacturing processes that are precise up to some bounded tolerance. Physical quantities are sensed by electronic components that add noise to the sensed signals. Abstraction of the physical world, which is often necessary to limit the complexity of the models used in analysis and at run-time in decision-making, leads to non-determinism. The cyber side of a CPS, which includes both hardware and software components, exposes several types of uncertainty such as failures, latency, and implementation errors. Design processes and tools allow engineers to minimize the impact of these types of uncertainty, and to deliver systems which can be operated with an acceptable level of risk. In the past several years, cyber-physical systems have evolved, primarily due to pervasive connectivity, miniaturization, cost-effectiveness of hardware, and advances in the area of Artificial Intelligence. This new class of applications features an environment that is much more complex to model than traditional physical systems due not only to their scale, but also to new sources and types of uncertainty. Consider, for example, the typical case of echo chambers which is attributed to the effect that machine learning algorithms have on the bias of people. Such behavior is not easily predictable because of high uncertainty in the environment (people), which is only approximately represented by machine learning models, but that is inherently due to lack of knowledge. New models and analysis methods are therefore needed to capture different types of uncertainties, and to analyze these new classes of systems."
"Control Communication Co-Design for Wide Area Cyber-Physical Systems","https://scispace.com/paper/http://arxiv.org/abs/2008.07492v1","2020","Preprint","","Laksh Bhatia
Ivana Tomić
Anqi Fu
Michael Breza
Julie A. McCann","10.1145/3418528","https://arxiv.org/pdf/2008.07492v1","Wide Area Cyber-Physical Systems (WA-CPSs) are a class of control systems that integrate low-powered sensors, heterogeneous actuators and computer controllers into large infrastructure that span multi-kilometre distances. Current wireless communication technologies are incapable of meeting the communication requirements of range and bounded delays needed for the control of WA-CPSs. To solve this problem, we use a Control-Communication Co-design approach for WA-CPSs, that we refer to as the $C^3$ approach, to design a novel Low-Power Wide Area (LPWA) MAC protocol called \textit{Ctrl-MAC} and its associated event-triggered controller that can guarantee the closed-loop stability of a WA-CPS. This is the first paper to show that LPWA wireless communication technologies can support the control of WA-CPSs. LPWA technologies are designed to support one-way communication for monitoring and are not appropriate for control. We present this work using an example of a water distribution network application which we evaluate both through a co-simulator (modelling both physical and cyber subsystems) and testbed deployments. Our evaluation demonstrates full control stability, with up to $50$\% better packet delivery ratios and $80$\% less average end-to-end delays when compared to a state of the art LPWA technology. We also evaluate our scheme against an idealised, wired, centralised, control architecture and show that the controller maintains stability and the overshoots remain within bounds."
"Design and Evaluation of A Cyber-Physical Resilient Power System Testbed","https://scispace.com/paper/http://arxiv.org/abs/2011.13552v1","2020","Preprint","","Abhijeet Sahu
Patrick Wlazlo
Zeyu Mao
Hao Huang
Ana Goulart
Katherine Davis
Saman Zonouz","10.1049/cps2.12018","https://arxiv.org/pdf/2011.13552v1","A power system is a complex cyber-physical system whose security is critical to its function. A major challenge is to model and analyze its communication pathways with respect to cyber threats. To achieve this, the design and evaluation of a cyber-physical power system (CPPS) testbed called Resilient Energy Systems Lab (RESLab) is presented that captures realistic cyber, physical, and protection system features. RESLab is architected to be a fundamental tool for studying and improving the resilience of complex CPPS to cyber threats. The cyber network is emulated using Common Open Research Emulator (CORE) that acts as a gateway for the physical and protection devices to communicate. The physical grid is simulated in the dynamic time frame using PowerWorld Dynamic Studio (PWDS). The protection components are modeled with both PWDS and physical devices including the SEL Real-Time Automation Controller (RTAC). Distributed Network Protocol 3 (DNP3) is used to monitor and control the grid. Then, exemplifying the design and validation of these tools, this paper presents four case studies on cyber-attack and defense using RESLab, where we demonstrate false data and command injection using Man-in-the-Middle and Denial of Service attacks and validate them on a large-scale synthetic electric grid."
"Some Aspects concerning the Cyber-Physical Systems Approach in Power Systems","https://scispace.com/paper/http://arxiv.org/abs/1406.2565v1","2014","Preprint","","N. Arghira
I. Fagarasan
G. Stamatescu
S. St. Iliescu
I. Stamatescu
V. Calofir","","https://arxiv.org/pdf/1406.2565v1","The paper carries out a review of the main functional aspects of an electro-energetic system, principles which lead to an evolution or even to a paradigm change the the control of such complex systems. The repositioning of the physical and information systems, mainly through the development of the computing and communication distributed entities, lead to a new structuring of the control approach in power systems, in accordance to the modern Cyber-Physical Systems (CPS) paradigm."
"AAAI Workshop on AI Planning for Cyber-Physical Systems -- CAIPI24","https://scispace.com/paper/http://arxiv.org/abs/2410.07245v1","2024","Preprint","","Oliver Niggemann
Gautam Biswas
Alexander Diedrich
Jonas Ehrhardt
René Heesch
Niklas Widulle","","https://arxiv.org/pdf/2410.07245v1","The workshop 'AI-based Planning for Cyber-Physical Systems', which took place on February 26, 2024, as part of the 38th Annual AAAI Conference on Artificial Intelligence in Vancouver, Canada, brought together researchers to discuss recent advances in AI planning methods for Cyber-Physical Systems (CPS). CPS pose a major challenge due to their complexity and data-intensive nature, which often exceeds the capabilities of traditional planning algorithms. The workshop highlighted new approaches such as neuro-symbolic architectures, large language models (LLMs), deep reinforcement learning and advances in symbolic planning. These techniques are promising when it comes to managing the complexity of CPS and have potential for real-world applications."
